Row,5 Volt Reference 1 [V],5 Volt Reference 2 [V],Accelerator Pedal Position (APP) Indicated Angle [%],Barometric Pressure (BARO) [kPa],Camshaft Position (CMP) Active Counter [counts],Camshaft Position (CMP) Sensor [rpm],Crankshaft Position (CKP) Active Counter [counts],Crankshaft Position (CKP) Resync Counter [counts],Crankshaft Position (CKP) Sensor [rpm],Engine Coolant Temperature (ECT) Sensor [degree C],Engine Load [%],Engine Run Time,Engine Speed [rpm],Ignition 1 Signal [V],Intake Air Temperature (IAT) Sensor [degree C],Knock Detected Cylinder 1,Knock Detected Cylinder 2,Knock Detected Cylinder 3,Knock Detected Cylinder 4,Knock Detected Cylinder 5,Knock Detected Cylinder 6,Knock Detected Cylinder 7,Knock Detected Cylinder 8,Knock Retard [deg],Malfunction Indicator Lamp (MIL) Requested By DTC,Manifold Absolute Pressure (MAP) Sensor [kPa],Mass Air Flow (MAF) Sensor [g/s],Spark [deg],Throttle Position (TP) Indicated Angle [%],Torque Management Spark Retard [deg],Total Knock Retard [deg],Vehicle Speed Sensor [km/h]
1,5.043,5.065,13.918,98,231,1279,47,0,1270,75,54.902,00:02:24,1283.500,13.945,26,No,No,No,No,No,No,No,No,0,Yes,58,28.040,28,29.621,0,0,20
2,5.043,5.043,13.938,98,1,1307,34,0,1298,75,56.078,00:02:24,1307.500,13.945,26,No,No,No,No,No,No,No,No,0,Yes,59,28.150,28,29.621,0,0,19
3,5.043,5.043,13.742,98,27,1303,23,0,1299,75,55.686,00:02:25,1301.250,13.919,25,No,No,No,No,No,No,No,No,0,Yes,59,27.940,28,29.621,0,0,19
4,5.043,5.043,13.078,98,53,1305,10,0,1305,75,54.118,00:02:26,1303.500,13.919,25,No,No,No,No,No,No,No,No,0,Yes,57,26.270,28.500,29.055,0,0,20
5,5.043,5.065,13.605,98,79,1274,242,0,1277,75,54.902,00:02:26,1276,13.945,25,No,No,No,No,No,No,No,No,0,Yes,57,26.870,28,29.055,0,0,20
6,5.043,5.065,13.918,98,104,1286,218,0,1280,75,55.294,00:02:27,1288,13.969,25,No,No,No,No,No,No,No,No,0,Yes,57,27.070,28,29.348,0,0,20
7,5.043,5.065,15.480,98,131,1369,220,0,1361,75,61.961,00:02:27,1375,13.945,25,No,No,No,No,No,No,No,No,0,Yes,64,32.980,26.500,31.340,0,0,20
8,5.043,5.043,13.254,98,158,1386,255,0,1387,75,53.333,00:02:28,1381.500,13.945,25,No,No,No,No,No,No,No,No,0,Yes,59,27.220,28.500,29.484,0,0,21
9,5.043,5.065,12.375,98,185,1311,2,0,1315,76,53.725,00:02:29,1310,13.945,25,No,No,No,No,No,No,No,No,0,Yes,57,25.620,29,28.781,0,0,21
10,5.043,5.043,12.375,98,211,1276,236,0,1277,76,52.157,00:02:29,1276,13.895,25,No,No,No,No,No,No,No,No,0,Yes,55,25.720,29,28.625,0,0,21
11,5.043,5.065,12.375,98,236,1271,205,0,1265,76,51.373,00:02:30,1269,13.895,25,No,No,No,No,No,No,No,No,0,Yes,55,25.530,29,28.625,0,0,21
12,5.043,5.043,12.375,98,5,1252,167,0,1254,76,50.588,00:02:30,1251.250,13.895,25,No,No,No,No,No,No,No,No,0,Yes,54,24.620,29,28.352,0,0,20
13,5.043,5.043,11.379,98,30,1251,127,0,1255,76,49.412,00:02:31,1250,13.895,25,No,No,No,No,No,No,No,No,0,Yes,54,24.050,29,28.059,0,0,20
14,5.043,5.065,11.359,98,55,1243,80,0,1249,76,50.588,00:02:32,1245.750,13.895,25,No,No,No,No,No,No,No,No,0,Yes,53,24.620,29,28.059,0,0,20
15,5.043,5.065,10.383,98,80,1236,33,0,1229,76,47.451,00:02:32,1231.750,13.870,25,No,No,No,No,No,No,No,No,0,Yes,52,23.410,30,27.492,0,0,21
16,5.043,5.065,9.348,98,105,1222,233,0,1214,76,43.922,00:02:33,1223,13.945,25,No,No,No,No,No,No,No,No,0,Yes,50,19.770,31.500,26.633,0,0,22
17,5.043,5.065,4.934,98,128,1142,153,0,1143,76,33.333,00:02:33,1134,13.945,25,No,No,No,No,No,No,No,No,0,Yes,42,14.100,36.500,23.508,0,0,22
18,5.043,5.043,5.090,98,150,1058,13,0,1052,77,35.294,00:02:34,1056.250,13.870,25,No,No,No,No,No,No,No,No,0,Yes,41,14.500,36,23.664,0,0,21
19,5.043,5.065,5.441,98,171,1062,116,0,1067,77,36.863,00:02:35,1061,13.895,25,No,No,No,No,No,No,No,No,0,Yes,42,15.240,35,23.938,0,0,21
