Row,ABS Solenoid (SFLH),ABS Solenoid (SFLR),ABS Solenoid (SFRH),ABS Solenoid (SFRR),ABS Solenoid (SRLH),ABS Solenoid (SRLR),ABS Solenoid (SRRH),ABS Solenoid (SRRR),ABS Warning Light,Accelerator Opening Angle% [%],Auto LSD Indicator Light,Automatic Disconnect Diff Switch,BA Ctrl Status,Brake Warning Light,Buzzer,Deceleration Open,Deceleration Sensor [m/s^2],Deceleration Sensor2 [m/s^2],ECB Motor Relay,EFI Communication Invalid,EFI Communication Open,Engine Revolutions [rpm],Fail Safe Motor Relay,FL Speed Open,FL Speed Sensor Voltage Open,FL Wheel ABS Ctrl Status,FL Wheel Acceleration [m/s^2],FL Wheel Direction,FL Wheel Speed [km/h],FL Wheel VSC Ctrl Status,Forward and Rearward G [m/s^2],FR Speed Open,FR Speed Sensor Voltage Open,FR Wheel ABS Ctrl Status,FR Wheel Acceleration [m/s^2],FR Wheel Direction,FR Wheel Speed [km/h],FR Wheel VSC Ctrl Status,Gear Position,IG Voltage Value Decreased,IG Voltage Value Increased,IG1 Voltage Value [V],Inspection Mode,L4 Switch,Lateral G [m/s^2],M/C Pressure Sensor Noise,Main Idle Switch/System Start,Master Cylinder Open,Master Cylinder Sensor [V],MT Voltage Value [V],Number of DTC,Number of IG ON(Inspection),Parking Brake Switch,Real Engine Torque [Nm],Rear Diff Lock Switch,RL Speed Open,RL Speed Sensor Voltage Open,RL Wheel ABS Ctrl Status,RL Wheel Acceleration [m/s^2],RL Wheel Direction,RL Wheel EBD Ctrl Status,RL Wheel Speed [km/h],RL Wheel VSC Ctrl Status,RR Speed Open,RR Speed Sensor Voltage Open,RR Wheel ABS Ctrl Status,RR Wheel Acceleration [m/s^2],RR Wheel Direction,RR Wheel EBD Ctrl Status,RR Wheel Speed [km/h],RR Wheel VSC Ctrl Status,Shift Information,Shift Lever Position,Slip Indicator Light,Solenoid Relay,Steering Angle Sensor [deg],Steering Angle Value [deg],Steering Open,Stop Light Switch,TR(A)C/VSC Solenoid(SM1),TR(A)C/VSC Solenoid(SM2),TRC(TRAC)Brake Ctrl Status,TRC(TRAC)Ctrl Status,TRC(TRAC)Engine/EV Ctrl Status,TRC/VSC Off Mode,Vehicle Speed [km/h],Yaw Rate Open,Yaw Rate Sensor [degree/s],Yaw Rate Sensor Voltage Open,Yaw Rate Sensor2 [degree/s],Yaw Rate Value [degree/s],Zero Point of Decele [m/s^2],Zero Point of Decele2 [m/s^2],Zero Point of M/C [MPa],Zero Point of Steering Angle [deg],Zero Point of Yaw Rate [deg],Zero Point of Yaw Rate2 [degree/s]
1,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",Normal,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",Normal,Normal,13.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",Normal,Normal,13.725,Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",Normal,Normal,13.725,Other,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",Normal,Normal,13.725,Other,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",Normal,Normal,13.725,Other,OFF,0,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",Normal,Normal,13.725,Other,OFF,0,Normal,ON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",Normal,Normal,13.725,Other,OFF,0,Normal,ON,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",Normal,Normal,13.725,Other,OFF,0,Normal,ON,Normal,1.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,OFF,OFF,OFF,ON,OFF,Normal,0.000,0.143,OFF,Normal,Normal,708,ON,Normal,Normal,OFF,0,Forward,0,OFF,-0.196,Normal,Normal,OFF,0,Forward,0,OFF,"P,N",Normal,Normal,13.725,Other,OFF,0,Normal,ON,Normal,1.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
