Row,AC Monitor,AC Monitor,AC Monitor CMPL,AC Monitor ENA,AC Signal,Air/Fuel Heater Duty (Bank1 Sensor1) [%],Air/Fuel Heater Duty (Bank2 Sensor1) [%],Battery Voltage [V]
1,Not Avl,Compl,Compl,Unable,OFF,42.969,42.188,13.984
2,Not Avl,Compl,Compl,Unable,OFF,41.406,40.625,13.984
3,Not Avl,Compl,Compl,Unable,OFF,39.844,39.062,13.984
4,Not Avl,Compl,Compl,Unable,OFF,39.062,38.281,13.984
5,Not Avl,Compl,Compl,Unable,OFF,38.281,37.500,13.984
6,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
7,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
8,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
9,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
10,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
11,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
12,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
13,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
14,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
15,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
16,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
17,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
18,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
19,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
20,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
21,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.964
22,Not Avl,Compl,Compl,Unable,OFF,43.750,37.500,13.984
23,Not Avl,Compl,Compl,Unable,OFF,42.188,37.500,13.984
24,Not Avl,Compl,Compl,Unable,OFF,39.844,37.500,13.984
25,Not Avl,Compl,Compl,Unable,OFF,39.062,37.500,13.964
26,Not Avl,Compl,Compl,Unable,OFF,38.281,37.500,13.984
27,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
28,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
29,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
30,Not Avl,Compl,Compl,Unable,OFF,37.500,37.500,13.984
31,Not Avl,Compl,Compl,Unable,OFF,43.750,37.500,13.964
32,Not Avl,Compl,Compl,Unable,OFF,42.188,37.500,13.984
33,Not Avl,Compl,Compl,Unable,OFF,40.625,37.500,13.984
