Row,Coolant Temp [degree C],Engine Speed [rpm],Engine Speed of Cyl Count1 [rpm],Engine Speed of Cyl Count2 [rpm],Engine Speed of Cyl Count3 [rpm],Engine Speed of Cyl Count4 [rpm],Engine Speed of Cyl Count5 [rpm],Engine Speed of Cyl Count6 [rpm],Fuel System Monitor,Short FT (Bank1 Sensor1) [%],Short FT (Bank2 Sensor1) [%]
1,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
2,71,1152.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
3,71,1155.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
4,71,1159.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
5,71,1149,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
6,71,1157,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
7,71,1154.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
8,71,1147.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
9,71,1160,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
10,71,1158.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
11,71,1153.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
12,71,1162.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
13,71,1158.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
14,71,1150,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
15,71,1151.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
16,71,1157,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
17,71,1160.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,0
18,71,1161.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
19,71,1158.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
20,71,1160.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
21,71,1157,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
22,71,1160.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
23,71,1160.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-2.344,-0.781
24,71,1157,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
25,71,1155.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
26,71,1160.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
27,71,1156.250,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
28,71,1157,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-1.562,-0.781
29,71,1161.500,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,-0.781
30,71,1160.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,-0.781
31,71,1153.750,51199.219,51199.219,51199.219,51199.219,51199.219,51199.219,Avail,-0.781,-0.781
