Row,Count Of DTCs Stored In This ECU,Absolute EVAP System Vapor Pressure [kPa],Absolute Load Value [%],Absolute Throttle Position [%],Absolute Throttle Position B [%],Accelerator Pedal Position D [%],Accelerator Pedal Position E [%],Air Flow Rate From Mass Air Flow Sensor [g/s],Barometric Pressure [kPa],Calculated Load Value [%],"Catalyst Temperature Bank 1, Sensor 1 [degree C]","Catalyst Temperature Bank 1, Sensor 2 [degree C]","Catalyst Temperature Bank 2, Sensor 1 [degree C]","Catalyst Temperature Bank 2, Sensor 2 [degree C]",Commanded Evaporative Purge [%],Commanded Throttle Actuator Control [%],Control Module Voltage [V],Distance Traveled Since DTCs Cleared [km],Distance Traveled While MIL Is Activated [km],Engine Coolant Temperature [degree C],Engine RPM [rpm],Engine Run Time Since DTCs Cleared [Min],Engine Run Time While MIL Is Activated [Min],Equivalence Ratio (Lambda) (B1-S1),Equivalence Ratio (Lambda) (B1-S1),Equivalence Ratio (Lambda) (B2-S1),Equivalence Ratio (Lambda) (B2-S1),Fuel System 1 Status,Fuel System 2 Status,Fuel/Air Commanded Equivalence Ratio,Ignition Timing Advance For Count1 Cylinder [BTDC],Intake Air Temperature [degree C],Location Of Oxygen Sensors,Long Term Fuel Trim - Bank 1 [%],Long Term Fuel Trim - Bank 2 [%],Malfunction Indicator Lamp (MIL) Status,Number Of Warm-Ups Since DTCs Cleared,OBD Requirements To Which Vehicle Or Engine Is Certified,Oxygen Sensor Current (B1-S1) [mA],Oxygen Sensor Current (B2-S1) [mA],Oxygen Sensor Output Voltage B1S2 [V],Oxygen Sensor Output Voltage B2S2 [V],Oxygen Sensor Voltage (B1-S1) [V],Oxygen Sensor Voltage (B2-S1) [V],Relative Throttle Position [%],Short Term Fuel Trim - Bank 1 [%],Short Term Fuel Trim - Bank 2 [%],Short Term Fuel Trim B1S2 [%],Short Term Fuel Trim B2S2 [%],Time Since Engine Start [S],Vehicle Speed Sensor [km/h]
1,0,96.795,12.941,14.902,46.667,15.686,31.765,4.100,96,24.314,322.100,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
2,0,96.795,12.941,14.902,46.667,15.686,31.765,4.100,96,24.314,322.100,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
3,0,96.775,12.941,14.902,46.667,15.686,31.765,4.100,96,24.314,322.100,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
4,0,96.775,13.333,14.902,46.667,15.686,31.765,4.100,96,24.314,322.100,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
5,0,96.775,13.333,14.902,46.667,15.686,31.765,4.100,96,24.314,322.100,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
6,0,96.775,13.333,14.902,46.275,15.686,31.765,4.100,96,24.314,322.100,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
7,0,96.775,13.333,14.902,46.275,15.686,31.765,4.100,96,24.314,322.100,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
8,0,96.775,13.333,14.902,46.275,15.686,31.765,4.100,96,24.314,322.100,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
9,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.314,322.100,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
10,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.314,322.100,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
11,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,322.100,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
12,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,69.500,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
13,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,322.100,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
14,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,69.500,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
15,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
16,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
17,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
18,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
19,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
20,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
21,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,711.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
22,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,715.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
23,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,715.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
24,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,715.500,123,0,1.006,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
25,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,715.500,123,0,1.003,1.006,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
26,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,715.500,123,0,1.003,1.003,1.012,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
27,0,96.775,13.333,14.902,46.275,15.686,31.765,3.870,96,24.706,328.700,70.300,328.700,70.300,0,14.902,13.847,0,0,80,715.500,123,0,1.003,1.003,1.000,1.012,CL,CL,0.997,17,15,"B1:S12--
B2:12---",3.906,6.250,OFF,4,OBD II,-0.012,-0.023,0.410,0.410,3.271,3.256,0,0,0.781,--,--,125,0
