Row,+BM Voltage [V],Atmosphere Pressure [kPa],Av Engine Speed of All Cyl [rpm],Battery Voltage [V],Calculate Load [%],Coolant Temp [degree C],Engine Speed [rpm],Engine Speed of Cyl Count1 [rpm],Engine Speed of Cyl Count2 [rpm],IGN Advance [deg],Injection Volum (Cylinder1) [ml],Knock Correct Learn Value [degree CA],Short FT (Bank1 Sensor1) [%],Short FT (Bank2 Sensor1) [%]
1,13.695,97,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.100,21,0,1.562
2,13.695,97,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.100,21,0,1.562
3,13.695,97,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.100,21,0,1.562
4,13.691,97,51199.219,13.457,24.314,80,703.750,51199.219,51199.219,15,0.100,21,0.781,1.562
5,13.693,97,51199.219,13.457,24.314,80,701.500,51199.219,51199.219,15,0.100,21,0.781,1.562
6,13.690,97,51199.219,13.457,24.314,80,702.250,51199.219,51199.219,15,0.100,21,0.781,1.562
7,13.691,97,51199.219,13.437,24.314,80,703.750,51199.219,51199.219,15,0.100,21,1.562,1.562
8,13.691,97,51199.219,13.457,24.314,80,704.500,51199.219,51199.219,15,0.100,21,1.562,1.562
9,13.700,96,51199.219,13.457,24.314,80,705.250,51199.219,51199.219,15,0.100,21,1.562,1.562
10,13.701,96,51199.219,13.457,24.314,80,705.250,51199.219,51199.219,15,0.100,21,1.562,1.562
11,13.691,97,51199.219,13.457,24.314,80,710,51199.219,51199.219,15,0.100,21,1.562,1.562
12,13.695,97,51199.219,13.457,24.314,80,714.750,51199.219,51199.219,15,0.100,21,1.562,1.562
13,13.710,96,51199.219,13.457,23.922,80,714.750,51199.219,51199.219,15,0.100,21,1.562,1.562
14,13.701,97,51199.219,13.457,23.922,80,718.750,51199.219,51199.219,15,0.100,21,1.562,1.562
15,13.695,96,51199.219,13.457,23.922,80,717.750,51199.219,51199.219,15,0.100,21,1.562,1.562
16,13.708,97,51199.219,13.457,23.922,80,721,51199.219,51199.219,15,0.100,21,1.562,1.562
17,13.691,97,51199.219,13.457,23.922,80,713.250,51199.219,51199.219,15,0.100,21,1.562,1.562
18,13.710,97,51199.219,13.457,23.922,80,714.750,51199.219,51199.219,15,0.100,21,1.562,1.562
19,13.710,97,51199.219,13.457,23.922,80,716.250,51199.219,51199.219,15,0.101,21,1.562,1.562
20,13.693,96,51199.219,13.457,23.922,80,717.750,51199.219,51199.219,15,0.101,21,1.562,1.562
21,13.710,96,51199.219,13.457,23.922,80,715.500,51199.219,51199.219,15,0.101,21,1.562,1.562
22,13.710,97,51199.219,13.457,23.922,80,716.250,51199.219,51199.219,15,0.101,21,1.562,1.562
23,13.695,97,51199.219,13.457,23.922,80,712.500,51199.219,51199.219,15,0.101,21,1.562,1.562
24,13.700,97,51199.219,13.457,23.922,80,716.250,51199.219,51199.219,15,0.101,21,1.562,1.562
25,13.710,97,51199.219,13.457,23.922,80,718.750,51199.219,51199.219,15,0.101,21,1.562,1.562
26,13.710,96,51199.219,13.457,23.922,80,716.250,51199.219,51199.219,15,0.101,21,1.562,1.562
27,13.693,96,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.101,21,1.562,1.562
28,13.710,97,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.101,21,1.562,1.562
29,13.710,97,51199.219,13.457,23.922,80,709.250,51199.219,51199.219,15,0.101,21,1.562,1.562
30,13.693,97,51199.219,13.457,23.922,80,708.500,51199.219,51199.219,15,0.100,21,1.562,1.562
31,13.693,97,51199.219,13.437,23.922,80,708.500,51199.219,51199.219,15,0.100,21,1.562,1.562
32,13.701,96,51199.219,13.457,23.922,80,705.250,51199.219,51199.219,15,0.100,21,1.562,1.562
33,13.693,97,51199.219,13.457,23.922,80,709.250,51199.219,51199.219,15,0.100,21,1.562,1.562
34,13.710,97,51199.219,13.457,23.922,80,715.500,51199.219,51199.219,15,0.100,21,1.562,1.562
35,13.691,96,51199.219,13.457,23.922,80,704.500,51199.219,51199.219,15,0.100,21,1.562,1.562
36,13.710,97,51199.219,13.457,23.922,80,709.250,51199.219,51199.219,15,0.100,21,1.562,1.562
37,13.710,97,51199.219,13.457,23.922,80,711.500,51199.219,51199.219,15,0.100,21,1.562,1.562
38,13.701,96,51199.219,13.457,23.922,80,713.250,51199.219,51199.219,15,0.100,21,1.562,1.562
39,13.700,96,51199.219,13.457,23.922,80,709.250,51199.219,51199.219,15,0.100,21,1.562,1.562
40,13.710,96,51199.219,13.457,23.922,80,707,51199.219,51199.219,15,0.100,21,1.562,1.562
41,13.691,97,51199.219,13.457,24.314,80,708.500,51199.219,51199.219,15,0.101,21,1.562,1.562
42,13.706,97,51199.219,13.457,24.314,80,714,51199.219,51199.219,15,0.101,21,1.562,1.562
43,13.700,97,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.101,21,1.562,1.562
44,13.708,96,51199.219,13.457,23.922,80,711.500,51199.219,51199.219,15,0.101,21,1.562,1.562
45,13.710,97,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.101,21,1.562,1.562
46,13.710,96,51199.219,13.457,23.922,80,716.250,51199.219,51199.219,15,0.101,21,1.562,1.562
47,13.701,97,51199.219,13.457,23.922,80,714.750,51199.219,51199.219,15,0.101,21,1.562,1.562
48,13.710,97,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.101,21,0.781,1.562
49,13.711,97,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.101,21,0.781,1.562
50,13.710,96,51199.219,13.457,23.922,80,717,51199.219,51199.219,15,0.101,21,0.781,1.562
51,13.706,96,51199.219,13.457,23.922,80,711.500,51199.219,51199.219,15,0.101,21,0.781,1.562
52,13.694,96,51199.219,13.476,23.922,80,710,51199.219,51199.219,15,0.100,21,0.781,1.562
53,13.700,97,51199.219,13.457,23.922,80,713.250,51199.219,51199.219,15,0.100,21,0.781,1.562
54,13.708,97,51199.219,13.457,23.922,80,708.500,51199.219,51199.219,15,0.100,21,0.781,1.562
55,13.710,97,51199.219,13.457,23.922,80,717,51199.219,51199.219,15,0.100,21,0.781,1.562
56,13.700,96,51199.219,13.457,23.922,80,711.500,51199.219,51199.219,15,0.100,21,0.781,1.562
57,13.710,97,51199.219,13.457,23.922,80,710.750,51199.219,51199.219,15,0.100,21,0.781,1.562
58,13.704,96,51199.219,13.457,23.922,80,708.500,51199.219,51199.219,15,0.100,21,0.781,1.562
59,13.710,97,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.100,21,0.781,1.562
60,13.710,97,51199.219,13.457,23.922,80,713.250,51199.219,51199.219,15,0.100,21,0.781,1.562
61,13.702,97,51199.219,13.457,23.922,80,706.250,51199.219,51199.219,15,0.100,21,0.781,1.562
62,13.710,97,51199.219,13.457,23.922,80,715.500,51199.219,51199.219,15,0.100,21,0.781,1.562
63,13.710,97,51199.219,13.457,23.922,80,713.250,51199.219,51199.219,15,0.100,21,0.781,1.562
64,13.707,96,51199.219,13.457,23.922,80,711.500,51199.219,51199.219,15,0.100,21,0.781,1.562
65,13.695,97,51199.219,13.457,23.922,80,710,51199.219,51199.219,15,0.100,21,0.781,1.562
66,13.710,97,51199.219,13.457,23.922,80,709.250,51199.219,51199.219,15,0.100,21,0.781,1.562
67,13.700,97,51199.219,13.476,23.922,80,713.250,51199.219,51199.219,15,0.100,21,0.781,1.562
68,13.695,97,51199.219,13.437,23.922,80,702.250,51199.219,51199.219,15,0.100,21,0.781,1.562
69,13.710,97,51199.219,13.457,23.922,80,709.250,51199.219,51199.219,15,0.100,21,0.781,1.562
70,13.710,96,51199.219,13.457,23.922,80,714.750,51199.219,51199.219,15,0.100,21,0.781,1.562
71,13.711,96,51199.219,13.457,23.922,80,714.750,51199.219,51199.219,15,0.100,21,0.781,1.562
72,13.711,96,51199.219,13.457,23.922,80,714.750,51199.219,51199.219,15,0.100,21,0.781,1.562
73,13.693,97,51199.219,13.457,23.922,80,707.750,51199.219,51199.219,15,0.100,21,0,1.562
74,13.710,97,51199.219,13.457,23.922,80,707,51199.219,51199.219,15,0.100,21,0,1.562
75,13.710,97,51199.219,13.457,23.922,80,704.500,51199.219,51199.219,15,0.100,21,0,1.562
76,13.710,96,51199.219,13.457,23.922,80,705.250,51199.219,51199.219,15,0.100,21,0,1.562
77,13.693,97,51199.219,13.457,23.922,80,703,51199.219,51199.219,15,0.100,21,0,1.562
78,13.710,96,51199.219,13.457,24.314,80,707.750,51199.219,51199.219,15,0.100,21,0,1.562
79,13.711,97,51199.219,13.457,24.314,80,714,51199.219,51199.219,15,0.100,21,0,1.562
80,13.710,97,51199.219,13.457,23.922,80,708.500,51199.219,51199.219,15,0.100,21,0.781,1.562
81,13.711,97,51199.219,13.457,23.922,80,718.750,51199.219,51199.219,15,0.100,21,0.781,1.562
82,13.711,96,51199.219,13.476,23.922,80,718.750,51199.219,51199.219,15,0.100,21,0.781,1.562
83,13.711,96,51199.219,13.457,23.922,80,716.250,51199.219,51199.219,15,0.100,21,0.781,1.562
84,13.711,97,51199.219,13.457,23.922,80,713.250,51199.219,51199.219,15,0.100,21,0,1.562
85,13.711,97,51199.219,13.457,23.922,80,715.500,51199.219,51199.219,15,0.100,21,0,1.562
86,13.711,97,51199.219,13.457,23.922,80,711.500,51199.219,51199.219,15,0.100,21,0,1.562
87,13.719,96,51199.219,13.457,23.922,80,712.500,51199.219,51199.219,15,0.100,21,0,1.562
88,13.710,96,51199.219,13.457,23.922,80,713.250,51199.219,51199.219,15,0.100,21,0,1.562
89,13.710,96,51199.219,13.457,23.922,80,716.250,51199.219,51199.219,15,0.100,21,0.781,1.562
90,13.711,97,51199.219,13.457,23.922,80,713.250,51199.219,51199.219,15,0.100,21,0.781,1.562
91,13.710,97,51199.219,13.457,23.922,80,711.500,51199.219,51199.219,15,0.100,21,0,1.562
92,13.710,97,51199.219,13.457,23.922,80,714,51199.219,51199.219,15,0.100,21,0.781,1.562
93,13.710,96,51199.219,13.457,23.922,80,710,51199.219,51199.219,15,0.100,21,0.781,1.562
94,13.706,96,51199.219,13.457,23.922,80,711.500,51199.219,51199.219,15,0.100,21,0.781,1.562
95,13.711,96,51199.219,13.476,23.922,80,712.500,51199.219,51199.219,15,0.100,21,0.781,1.562
96,13.710,97,51199.219,13.457,23.922,80,703.750,51199.219,51199.219,15,0.099,21,0.781,1.562
97,13.706,97,51199.219,13.457,23.922,80,707.750,51199.219,51199.219,15,0.099,21,0.781,1.562
98,13.706,97,51199.219,13.457,23.922,80,710.750,51199.219,51199.219,15,0.099,21,0.781,1.562
99,13.710,96,51199.219,13.457,24.314,80,706.250,51199.219,51199.219,15,0.099,21,0,1.562
100,13.711,96,51199.219,13.457,24.314,80,710.750,51199.219,51199.219,15,0.099,21,0,1.562
101,13.696,96,51199.219,13.476,23.922,80,714,51199.219,51199.219,15,0.099,21,0,1.562
102,13.711,97,51199.219,13.457,23.922,80,710.750,51199.219,51199.219,15,0.099,21,0,1.562
103,13.710,97,51199.219,13.457,23.922,80,706.250,51199.219,51199.219,15,0.099,21,0,0.781
104,13.710,96,51199.219,13.457,24.314,80,703,51199.219,51199.219,15,0.099,21,0,0.781
105,13.710,97,51199.219,13.457,24.314,80,700,51199.219,51199.219,15,0.099,21,0,0.781
106,13.710,96,51199.219,13.457,24.314,80,704.500,51199.219,51199.219,15,0.099,21,0,0.781
