Row,AC Compressor Active,AC Pressure [kPa],"Accelerator Pedal Sensor, Analog [V]","Accelerator Pedal Sensor, PWM [%]",Adaptation Throttle,"Air Mass, Correction Factor",Ambient Air Pressure [hPa],Ambient Air Temperature [degree C],Battery Voltage [V],Boost Pressure [hPa],Brake Light Switch,Brake Pedal Position (From BCM) [%],Camshaft Shifting Angle Deviation (Exhaust) [deg],Camshaft Shifting Angle Deviation (Inlet) [deg],"Camshaft Shifting Angle, Exhaust [deg]","Camshaft Shifting Angle, Inlet [deg]",Condition Automatic Transmission,Cruise -,Cruise +,Cruise Control Resume,Engine Coolant Level Switch,Engine Coolant Temperature [degree C],Engine Cooling Fan [%],Evap-Flow [kg/h],Exhaust Camshaft Adaptation [deg],Exhaust Camshaft Reset Valve [%],Fuel Pressure [kPa],"Fuel Pressure, Nominal Value [kPa]",Fuel Pump Relay,"Fuel Pump, Duty Cycle [%]",Fuel Temperature [degree C],"Idlespeed, Deviation From Nominal [rpm]",Ignition Angle [deg BTDC],"Injection Time, Bank 1 [ms]",Inlet Camshaft Adaptation (6-Cyl) [deg],Inlet Camshaft Reset Valve [%],Intake Air Temperature [degree C],"Lambda Control, Bank 1",Leakage Air Through Throttle Blade,"Long-Term Fuel Trim Lower Part Load, Bank 1","Long-Term Fuel Trim Upper Part Load, Bank 1",Mass Air Flow [kg/h],Misfire Counter,Misfire Counter 1 (5 Cyl),Misfire Counter 2 (5 Cyl),Misfire Counter 3 (5 Cyl),Misfire Counter 4 (5 Cyl),Misfire Counter 5 (5 Cyl),"Nominal Camshaft Shifting Angle, Exhaust [deg]","Nominal Camshaft Shifting Angle, Inlet [deg]",Nominal Throttle Angle [%],Oil Level [%],Oil Pressure Switch,"Oxygen Front Sensor, Bank 1","Oxygen Rear Sensor, Bank 1 [V]","Purge Valve, Dutycycle [%]","Short-Term Fuel Trim Idle, Bank 1 [%]","Short-Term Fuel Trim, Bank 1",Throttle Angle [%],"Throttle Position Sensor, Potentiometer 1 [V]","Throttle Position Sensor, Potentiometer 1 [%]","Throttle Position Sensor, Potentiometer 2 [V]","Throttle Position Sensor, Potentiometer 2 [%]",Turbo Control Valve Dutycycle [%],Vehicle Speed [km/h]
1,Off,188.15,0.80,15.97,OK,0.97,975,-0.75,14.57,1030,Off,0,-0.32,-0.36,-0.61,9.85,On,Off,Off,Off,Off,87.75,7.84,2.10,2.19,7.84,401.10,400,On,48.31,18,-1280,40.50,4.80,-1.00,43.53,4.50,C/L,0.20,1.08,1.00,105.40,0,0,0,0,0,0,0,0,13.98,79.68,Off,0.99,0.59,99.60,3.37,0.99,13.33,1.10,13.73,3.90,13.73,0,127
2,Off,188.15,0.80,15.97,OK,0.97,975,-0.75,14.57,1030,Off,0,-0.32,-0.36,-0.61,9.85,On,Off,Off,Off,Off,87.75,7.84,2.10,2.19,7.84,401.10,400,On,48.31,18,-1280,40.50,4.80,-1.00,43.53,4.50,C/L,0.20,1.08,1.00,105.40,0,0,0,0,0,0,0,0,13.98,79.68,Off,0.99,0.59,99.60,3.37,0.99,13.33,1.10,13.73,3.90,13.73,0,127
3,Off,188.15,0.80,15.97,OK,0.97,975,-0.75,14.57,1030,Off,0,-0.32,-0.36,-0.61,9.85,On,Off,Off,Off,Off,87.75,7.84,2.10,2.19,7.84,401.10,400,On,48.31,18,-1280,40.50,4.80,-1.00,43.53,4.50,C/L,0.20,1.08,1.00,105.40,0,0,0,0,0,0,0,0,13.98,79.68,Off,0.99,0.59,99.60,3.37,0.99,13.33,1.10,13.73,3.90,13.73,0,127
4,Off,188.15,0.79,15.97,OK,0.97,975,-0.75,14.57,1030,Off,0,-0.32,-0.36,-0.61,9.85,On,Off,Off,Off,Off,87.75,7.84,2.10,2.19,7.84,401.10,400,On,48.31,18,-1280,40.50,4.80,-1.00,43.53,4.50,C/L,0.20,1.08,1.00,105.40,0,0,0,0,0,0,0,0,13.98,79.68,Off,0.99,0.59,99.60,3.37,0.99,13.33,1.10,13.73,3.90,13.73,0,127
5,Off,188.15,0.79,16.03,OK,0.97,975,-0.75,14.57,1030,Off,0,-0.32,-0.36,-0.61,9.85,On,Off,Off,Off,Off,87.75,7.84,2.10,2.19,7.84,401.10,400,On,48.31,18,-1280,40.50,4.80,-1.00,43.53,4.50,C/L,0.20,1.08,1.00,105.40,0,0,0,0,0,0,0,0,13.98,79.68,Off,0.99,0.59,99.60,3.37,0.99,13.33,1.10,13.73,3.90,13.73,0,127
6,Off,188.15,0.79,16.03,OK,0.97,975,-0.75,14.57,1030,Off,0,-0.32,-0.36,-0.61,9.85,On,Off,Off,Off,Off,87.75,7.84,2.10,2.19,7.84,401.10,400,On,48.31,18,-1280,40.50,4.80,-1.00,43.53,4.50,C/L,0.20,1.08,1.00,105.40,0,0,0,0,0,0,0,0,13.98,79.68,Off,0.99,0.59,99.60,3.37,0.99,13.33,1.10,13.73,3.90,13.73,0,127
7,Off,188.15,0.79,16.03,OK,0.97,975,-0.75,14.57,1030,Off,0,-0.32,-0.36,-0.61,9.85,On,Off,Off,Off,Off,87.75,7.84,2.10,2.19,7.84,401.10,400,On,48.31,18,-1280,40.50,4.80,-1.00,43.53,4.50,C/L,0.20,1.08,1.00,105.40,0,0,0,0,0,0,0,0,13.98,79.68,Off,0.99,0.59,99.60,3.37,0.99,13.33,1.10,13.73,3.90,13.73,0,127
8,Off,188.15,0.79,16.03,OK,0.97,975,-0.75,14.57,1030,Off,0,-0.32,-0.36,-0.61,9.85,On,Off,Off,Off,Off,87.75,7.84,2.10,2.19,7.84,401.10,400,On,48.31,18,-1280,40.50,4.80,-1.00,43.53,4.50,C/L,0.20,1.08,1.00,105.40,0,0,0,0,0,0,0,0,13.98,79.68,Off,0.99,0.59,99.60,3.37,0.99,13.33,1.10,13.73,3.90,13.73,0,127
9,Off,188.15,0.79,16.03,OK,0.97,975,-0.75,14.57,1030,Off,0,-0.32,-0.36,-0.61,9.85,On,Off,Off,Off,Off,87.75,7.84,2.10,2.19,7.84,401.10,400,On,48.31,18,-1280,40.50,4.80,-1.00,43.53,4.50,C/L,0.20,1.08,1.00,105.40,0,0,0,0,0,0,0,0,13.98,79.68,Off,0.99,0.59,99.60,3.37,0.99,13.33,1.10,13.73,3.90,13.73,0,127
10,Off,188.15,0.79,16.03,OK,0.97,975,-0.75,14.57,1030,Off,0,-0.32,-0.36,-0.61,9.85,On,Off,Off,Off,Off,87.75,7.84,2.10,2.19,7.84,401.10,400,On,48.31,18,-1280,40.50,4.80,-1.00,43.53,4.50,C/L,0.20,1.08,1.00,105.40,0,0,0,0,0,0,0,0,13.98,79.68,Off,0.99,0.59,99.60,3.37,0.99,13.33,1.10,13.73,3.90,13.73,0,127
