Row,Alarm Cause 1,Automatic Locking,"Battery Voltage, REM [V]",Bonnet Sensor Switch,Bootlid/Tailgate Switch,Calibration Result Position Sensor,Distance Backwards,Distance Forwards,Driver Door Lock Switch,Driver Door Switch,"Fog Light, Trailer",Fog Lights,Glass Break Sensor,Left Rear Door Lock Switch,Left Rear Door Power Child Lock Switch,Left Rear Door Switch,License Plate Light,Parking Assistance Front,Parking Assistance Rear,Parking Assistance Sensor 1,Parking Assistance Sensor 2,Parking Assistance Sensor 3,Parking Assistance Sensor 4,Parking Assistance Sensor 5,Parking Assistance Sensor 6,Parking Assistance Sensor 7,Parking Assistance Sensor 8,Passenger Door Lock Switch,Passenger Door Switch,Relay Electrically Heated Diesel Filter,Relay Extended X Supply (1),Relay Extended X Supply (2),Relay Extended X Supply (3),Relay Extended X Supply (4),Relay Rear Window Defroster,"Relay, Tank Valve",Reversing Light,Right Rear Door Lock Switch,Right Rear Door Power Child Lock Switch,Right Rear Door Switch,Signal From Position Sensor Xenon Lamp [V],Signal From Pressure Sensor (CNG) [V],Signal From Temperature Sensor (CNG) [V],Status Position Sensor Xenon Lamp,Stop Light,"Tail Gate, Lock Switch",Unlocking Cause,"Voltage Of Battery, CEM [V]"
1,No Alarm Caust Saved,Not Activated,14.51,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,No Alarm Caust Saved,Not Activated,14.51,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,No Alarm Caust Saved,Not Activated,14.51,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
