Row,Acceleration Pedal Position [%],Battery Voltage [V],Cruise Control Active,Engine Coolant Temperature [degree C],Engine Running Status ECM,Engine Speed [rpm],Engine Torque [Nm],Expected Gear Ratio,Gear Ratio,Gear Selector Position,Gear Selector Position A,Gear Selector Position B,Gear Selector Position C,Gear Selector Position PA,Ignition Status ECM,In Rpm Speed NC Sensor [rpm],Kick Down Status,Lever Unit AW55 GT,Lever Unit PRND43L,Oil Temperature [degree C],Quick Shift Function From GSM On/Off,Quick Shift Gear Change From GSM,Quick Shift Mode,Solenoid S1 & S2 Current [mA],Solenoid S1 Status,Solenoid S2 Status,Solenoid S3 Current [mA],Solenoid S3 Status,Solenoid S4 & S5 Current [mA],Solenoid S4 Status,Solenoid S5 Status,Solenoid SLS Current [A],Solenoid SLT Current [A],Solenoid SLU Current [A],Torque Control [Nm],Torque Limitation Requested [Nm],Torque Reduction When Changing Gear [Nm],Vehicle Speed ABS [km/h],Vehicle Speed SP Sensor [km/h],Winter Mode Status
1,3,13.91,Cruise Not Active,87,Engine Running,1219,18,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
2,5,13.91,Cruise Not Active,87,Engine Running,1219,18,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
3,5,13.89,Cruise Not Active,87,Engine Running,1219,18,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
4,5,13.89,Cruise Not Active,87,Engine Running,1219,18,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
5,5,13.89,Cruise Not Active,87,Engine Running,1219,18,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
6,5,13.89,Cruise Not Active,87,Engine Running,1219,18,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
7,5,13.89,Cruise Not Active,87,Engine Running,1220,18,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
8,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
9,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
10,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
11,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
12,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
13,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
14,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
15,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
16,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,621,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
17,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
18,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
19,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
20,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,64,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
21,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,65,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
22,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,65,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
23,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,65,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
24,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,65,Off,No Gear Change,Normal,5,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
25,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,65,Off,No Gear Change,Normal,0,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
26,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,65,Off,No Gear Change,Normal,0,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
27,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,65,Off,No Gear Change,Normal,0,Off,Off,923,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
28,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,65,Off,No Gear Change,Normal,0,Off,Off,0,On,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
29,5,13.89,Cruise Not Active,87,Engine Running,1220,39,1.34,1.34,D,High,Low,Low,High,Ignition Is On,1196,Not Active,D,D,65,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,Off,Off,0.89,0.96,0.99,61,330,3,10,10,Off
