severity,category,issue,details,recommendation,source
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 20 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 896 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251022201306_clean.csv
CRITICAL,Engine Performance,Misfires Causing RPM Instability,Strong correlation (0.81) between RPM fluctuation and misfires,"Address misfire issues - check spark plugs, coils, and fuel injectors",TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 55 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201181151_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±135 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251201181151_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 1032 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251201181151_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 58 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103172159_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 911 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251103172159_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 455 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251103172159_clean.csv
CRITICAL,Engine Performance,Misfires Causing RPM Instability,Strong correlation (0.69) between RPM fluctuation and misfires,"Address misfire issues - check spark plugs, coils, and fuel injectors",TOYOTA_989347712041_20251103172159_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 43 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251127123053_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±106 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251127123053_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 555 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251127123053_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 46 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251127122922_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±113 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251127122922_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 317 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251127122922_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 46 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201180024_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±114 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251201180024_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 647 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251201180024_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 51 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201203733_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±123 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251201203733_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 547 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251201203733_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 47 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251127120140_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±124 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251127120140_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 1158 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251127120140_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 63 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260126145617_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±148 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260126145617_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 5517 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260126145617_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 37 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201180609_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±87 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251201180609_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 616 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251201180609_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 21 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251127122721_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±81 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251127122721_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 275 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251127122721_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 34 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251209205834_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±83 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251209205834_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 3808 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251209205834_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 24 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251220140902_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±66 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251220140902_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 621 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251220140902_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 6 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120104832_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 146 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120104832_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 46 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±115 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 4186 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120113343_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 24 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±55 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 481 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251223215716_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 58 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103172236_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 1419 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251103172236_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 709 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251103172236_clean.csv
CRITICAL,Engine Performance,Misfires Causing RPM Instability,Strong correlation (0.69) between RPM fluctuation and misfires,"Address misfire issues - check spark plugs, coils, and fuel injectors",TOYOTA_989347712041_20251103172236_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 56 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103170719_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 1227 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251103170719_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 613 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251103170719_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 38 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±87 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 587 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251223214108_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 52 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±131 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 4403 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20260120104845_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 56 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 8915 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 4457 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251109130103_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 58 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103172117_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 975 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251103172117_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 487 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251103172117_clean.csv
CRITICAL,Engine Performance,Misfires Causing RPM Instability,Strong correlation (0.69) between RPM fluctuation and misfires,"Address misfire issues - check spark plugs, coils, and fuel injectors",TOYOTA_989347712041_20251103172117_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 50 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103170257_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 1315 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251103170257_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 657 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251103170257_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 26 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103173020_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 1103 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251103173020_clean.csv
CRITICAL,Engine Performance,Misfires Causing RPM Instability,Strong correlation (0.71) between RPM fluctuation and misfires,"Address misfire issues - check spark plugs, coils, and fuel injectors",TOYOTA_989347712041_20251103173020_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 44 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201203442_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±102 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251201203442_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 710 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251201203442_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 59 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251028120111_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 37195 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251028120111_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 18597 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251028120111_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 66 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251220142351_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±182 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251220142351_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 403 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251220142351_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 36 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103171226_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 2219 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251103171226_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 1109 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251103171226_clean.csv
CRITICAL,Engine Performance,Misfires Causing RPM Instability,Strong correlation (0.91) between RPM fluctuation and misfires,"Address misfire issues - check spark plugs, coils, and fuel injectors",TOYOTA_989347712041_20251103171226_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 43 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251223214348_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±100 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251223214348_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 781 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251223214348_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 44 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251028105043_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 4096 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251028105043_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 2048 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251028105043_clean.csv
CRITICAL,Engine Performance,Misfires Causing RPM Instability,Strong correlation (0.64) between RPM fluctuation and misfires,"Address misfire issues - check spark plugs, coils, and fuel injectors",TOYOTA_989347712041_20251028105043_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 38 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251127121913_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±89 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251127121913_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 417 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251127121913_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 42 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103170028_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 243 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251103170028_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 121 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251103170028_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 60 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±155 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 1923 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251209204833_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 58 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251103171959_clean.csv
WARNING,Engine Performance,Erratic RPM Behavior,Detected 1207 sudden RPM changes (>200 RPM/reading),"Possible misfire, fuel delivery issue, or sensor problem",TOYOTA_989347712041_20251103171959_clean.csv
WARNING,Engine Performance,RPM Oscillation Pattern,RPM oscillating 603 times during scan,"Check for misfires, ignition system, or engine control module issues",TOYOTA_989347712041_20251103171959_clean.csv
