severity,category,issue,details,recommendation,source
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 542 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±307 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 281 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±338 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 65°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251022201306_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 373°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 47°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251022201306_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 1497°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 22 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 13°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251022201306_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±62 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251201181151_clean.csv
WARNING,Engine Performance,Low Idle RPM,Average idle RPM: 0 (expected 650-800),"Check for vacuum leaks, dirty throttle body, or idle control valve issues",TOYOTA_989347712041_20251201181151_clean.csv
WARNING,Engine Performance,Rough Idle - RPM Fluctuation,RPM variation: ±74 RPM (should be <50),"Check for misfires, vacuum leaks, or engine mount issues",TOYOTA_989347712041_20251201181151_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 80°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201181151_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201181151_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 54°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201181151_clean.csv
WARNING,Cooling System,Engine Running Cold,Coolant temperature: 0°F (normal: 180-210°F),Check thermostat - may be stuck open,TOYOTA_989347712041_20251201181151_clean.csv
CRITICAL,Cooling System,Engine Overheating,Coolant temperature: 2396°F (normal: 180-210°F),"IMMEDIATE ATTENTION: Check coolant level, thermostat, radiator, and water pump",TOYOTA_989347712041_20251201181151_clean.csv
WARNING,Cooling System,Unstable Engine Temperature,Detected 66 rapid temperature fluctuations,"Check thermostat, coolant level, and temperature sensor",TOYOTA_989347712041_20251201181151_clean.csv
