Row,* Park/Neutral Position (PNP) Switch (If Equipped),Accelerator Pedal Position (APP) Indicated Angle [%],Air Conditioning (AC) Relay Command,Air Flow Calculated [g/s],Ambient Air Temperature [degree C],Barometric Pressure (BARO) [kPa],Brake Pedal Position (BPP) Signal,Cold Startup,Cruise Control Active,Deceleration Fuel Cutoff,Desired Idle Speed [rpm],Engine Control (EC) Ignition Relay Command,Engine Control (EC) Ignition Relay Feedback Signal [V],Engine Coolant Temperature (ECT) Sensor [degree C],Engine Load [%],Engine Oil Level Switch,Engine Oil Pressure Sensor [kPa],Engine Run Time,Engine Speed [rpm],Evaporative Emission (EVAP) Purge Solenoid Command [%],Evaporative Emission (EVAP) Vent Solenoid Command,Fuel Pump Relay Circuit Open Test Status,Fuel Pump Relay Circuit Short Gnd Test Status,Fuel Pump Relay Circuit Short Volts Test Status,Fuel Pump Relay Command,Fuel Tank Level Remaining [%],Fuel Tank Pressure Sensor [mmHg],Fuel Trim Cell,Heated Oxygen Sensor (HO2S) Bank 1 Sensor 1 [mV],Heated Oxygen Sensor (HO2S) Bank 1 Sensor 2 [mV],Heated Oxygen Sensor (HO2S) Bank 2 Sensor 1 [mV],Heated Oxygen Sensor (HO2S) Bank 2 Sensor 2 [mV],Ignition 1 Signal [V],Ignition Accessory Signal,Ignition Off Time [min],Injector PWM Bank 1 [ms],Injector PWM Bank 2 [ms],Intake Air Temperature (IAT) Sensor [degree C],Intake Manifold Pressure [kPa],Long Term Fuel Trim (FT) Bank 1 [%],Long Term Fuel Trim (FT) Bank 2 [%],Loop Status,Malfunction Indicator Lamp (MIL) Circuit Open Test Status,Malfunction Indicator Lamp (MIL) Circuit Short Gnd Test Status,Malfunction Indicator Lamp (MIL) Circuit Short Volts Test Status,Malfunction Indicator Lamp (MIL) Command,Malfunction Indicator Lamp (MIL) Requested By DTC,Manifold Absolute Pressure (MAP) Sensor [kPa],Mass Air Flow (MAF) Sensor [g/s],Power Enrichment,Short Term Fuel Trim (FT) Bank 1 [%],Short Term Fuel Trim (FT) Bank 2 [%],Spark [deg],Throttle Position (TP) Indicated Angle [%],Vehicle Speed Sensor [km/h],Warm-Ups Since DTC Cleared [counts],Warm-Ups w/o Emission Faults,Warm-Ups w/o Non-Emission Faults
1,In Gear,0.500,Off,12.750,6,98,Released,No,Inactive,Inactive,624,Off,13.800,77,25.098,OK,348,00:09:38,1150.750,0,Not Venting,Not Run,OK,Not Run,Off,13.833,-6.291,15,0,0,121.528,720.486,13.845,Off,50283,2.314,2.329,8,64,-12.500,-12.500,Open,Not Run,Not Run,OK,On,Yes,34,11.710,Inactive,4.688,5.469,30,21.105,60,3,0,0
2,In Gear,0.500,Off,10.711,6,98,Released,No,Inactive,Inactive,624,Off,13.800,78,24.706,OK,352,00:09:39,1069,0,Not Venting,Not Run,OK,Not Run,Off,12.657,-5.753,15,0,0,681.424,720.486,13.845,Off,50283,2.043,1.998,8,67,-12.500,-12.500,Open,Not Run,Not Run,OK,On,Yes,31,10.200,Inactive,0,-2.344,29.500,20.676,60,3,0,0
3,In Gear,0.500,Off,9.688,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,78,20.392,OK,348,00:09:39,1090.250,0,Not Venting,Not Run,OK,Not Run,Off,11.480,-5.081,15,0,0,60.764,724.826,13.746,Off,50283,1.833,1.788,8,70,-12.500,-12.500,Open,Not Run,Not Run,OK,On,Yes,29,8.550,Inactive,4.688,2.344,31.500,19.387,59,3,0,0
4,In Gear,0.500,Off,8.086,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,78,17.647,OK,344,00:09:40,1017.750,0,Not Venting,Not Run,OK,Not Run,Off,11.088,-4.372,15,0,0,104.167,720.486,13.895,Off,50283,1.517,1.593,8,72,-12.500,-12.500,Open,Not Run,Not Run,OK,On,Yes,26,7.010,Inactive,0.781,3.906,25,18.547,59,3,0,0
5,In Gear,0.500,Off,6.867,6,98,Applied,No,Inactive,Inactive,624,Off,13.800,78,17.255,OK,344,00:09:40,949.250,0,Not Venting,Not Run,OK,Not Run,Off,11.088,-3.704,15,0,0,776.910,720.486,13.919,Off,50283,1.397,1.382,8,74,-12.500,-12.500,Open,Not Run,Not Run,OK,On,Yes,24,6.440,Inactive,0.781,-0.781,21,17.551,58,3,0,0
6,In Gear,0.500,Off,6.172,6,98,Released,No,Inactive,Inactive,624,Off,13.800,78,17.647,OK,340,00:09:40,859.250,0,Not Venting,Not Run,OK,Not Run,Off,11.088,-3.067,15,0,0,651.042,716.146,13.919,Off,50283,1.397,1.412,8,74,-12.500,-12.500,Open,Not Run,Not Run,OK,On,Yes,24,5.970,Inactive,-1.562,-1.562,21.500,17.395,57,3,0,0
7,In Gear,0.500,Off,6.125,6,98,Released,No,Inactive,Inactive,624,Off,13.800,78,17.647,OK,340,00:09:41,853,0,Not Venting,Not Run,OK,Not Run,Off,11.480,-2.515,15,0,0,811.632,716.146,13.870,Off,50283,1.397,1.382,8,74,-12.500,-12.500,Open,Not Run,Not Run,OK,On,Yes,24,5.990,Inactive,-3.906,-5.469,22.500,17.395,56,3,0,0
8,In Gear,0.500,Off,5.922,6,98,Released,No,Inactive,Inactive,624,Off,13.800,78,17.647,OK,336,00:09:41,819.500,0,Not Venting,Not Run,OK,Not Run,Off,11.480,-2.025,15,0,0,824.653,729.167,13.919,Off,50283,1.412,1.397,8,74,-12.500,-12.500,Open,Not Run,Not Run,OK,On,Yes,24,5.880,Inactive,-5.469,-7.031,23.500,17.395,55,3,0,0
9,In Gear,0.500,Off,6.016,6,98,Released,No,Inactive,Inactive,624,Off,13.800,79,18.431,OK,332,00:09:42,818.500,0,Not Venting,Not Run,OK,Not Run,Off,11.480,-1.609,15,0,0,794.271,724.826,13.919,Off,50283,1.412,1.412,8,73,-12.500,-12.500,Open,Not Run,Not Run,OK,On,Yes,25,6.030,Inactive,-7.812,-7.812,24.500,17.395,54,3,0,0
10,In Gear,0.500,Off,5.977,6,98,Applied,No,Inactive,Inactive,624,Off,13.700,79,18.039,OK,332,00:09:42,814.250,0,Not Venting,Not Run,OK,Not Run,Off,11.088,-1.269,15,0,0,781.250,716.146,13.895,Off,50283,1.427,1.397,8,73,-12.500,-12.500,Open,Not Run,Not Run,OK,On,Yes,25,5.770,Inactive,-8.594,-8.594,24.500,17.395,54,3,0,0
