Num,1. * 4WD Low Signal (If Equipped),2. Accelerator Pedal Position (APP) Indicated Angle (%),3. Barometric Pressure (BARO) (kPa),4. Engine Coolant Temperature (ECT) Sensor (degree C),5. Engine Load (%),6. Engine Run Time,7. Engine Speed (rpm),8. Ignition 1 Signal (V),9. Intake Air Temperature (IAT) Sensor (degree C),10. Malfunction Indicator Lamp (MIL) Requested By DTC,11. Manifold Absolute Pressure (MAP) Sensor (kPa),12. Mass Air Flow (MAF) Sensor (g/s),13. Throttle Position (TP) Indicated Angle (%),14. Torque Delivered Signal (Nm),15. Transfer Case Ratio (: 1),16. Vehicle Speed Sensor (km/h)
1,Disabled,0.500,98,93,16.078,00:14:42,946,13.870,5,Yes,22,5.930,17.551,-21.750,1.000,62
2,Disabled,0.500,98,93,16.471,00:14:43,901.750,13.870,5,Yes,23,6,17.395,-16.750,1.000,61
3,Disabled,0.500,98,93,16.863,00:14:43,890.500,13.870,5,Yes,23,5.860,17.258,-15,1.000,59
4,Disabled,0.500,98,93,17.647,00:14:44,871.750,13.919,5,Yes,23,5.890,17.258,-10.500,1.001,57
5,Disabled,0.500,98,93,17.647,00:14:45,796,13.945,5,Yes,25,5.490,15.695,-0.500,1.001,55
6,Disabled,0.500,98,93,18.039,00:14:46,776.750,13.919,5,Yes,26,5.860,17.258,6,1.000,51
7,Disabled,0.500,98,93,18.039,00:14:47,706.750,13.919,5,Yes,27,5.880,17.258,12,1.001,47
8,Disabled,0.500,98,93,18.431,00:14:47,683.500,13.919,5,Yes,28,5.850,17.121,15.250,1,44
9,Disabled,0.500,98,93,18.431,00:14:48,709,13.870,5,Yes,28,5.880,17.121,11.250,0.999,44
10,Disabled,0.500,98,93,18.039,00:14:49,652.750,13.870,5,Yes,29,5.750,17.121,19,1.001,42
11,Disabled,0.500,98,93,18.431,00:14:50,630.750,13.845,5,Yes,30,5.670,17.121,18.500,1,39
12,Disabled,0.500,98,93,18.431,00:14:51,619.500,13.870,5,Yes,31,5.810,17.121,27.500,1.001,35
13,Disabled,0.500,98,93,18.431,00:14:51,525.500,13.820,5,Yes,33,5.700,17.121,38.500,0.696,31
14,Disabled,0.500,98,93,18.431,00:14:52,558.500,13.770,5,Yes,35,5.840,17.551,43.750,0.698,27
15,Disabled,0.500,98,93,20.392,00:14:53,646.750,13.795,5,Yes,35,6.420,17.980,40.750,0.602,24
16,Disabled,0.500,98,93,20.392,00:14:54,598.250,13.845,5,Yes,35,6.390,17.980,40,0.379,19
17,Disabled,0.500,98,93,20,00:14:55,636.750,13.845,5,Yes,34,6.210,17.824,26.250,0.574,13
18,Disabled,0.500,98,93,20,00:14:55,551.500,13.795,5,Yes,35,6.300,17.824,35.750,0.860,7
19,Disabled,0.500,98,93,20,00:14:56,510.750,13.820,5,Yes,37,6.280,17.980,53,1.002,2
20,Disabled,0.500,98,93,20.784,00:14:57,568.500,13.845,5,Yes,38,6.510,18.117,44.500,0.915,0
21,Disabled,23.078,98,93,85.098,00:14:58,799.500,13.895,5,Yes,67,27.530,30.051,205.250,1.048,2
22,Disabled,23.254,98,93,60.784,00:14:59,1420,13.895,5,Yes,65,34.580,32.043,204.250,1.005,8
23,Disabled,23.723,98,93,61.961,00:14:59,1583,13.870,5,Yes,66,39.530,33.176,214,0.999,15
24,Disabled,25.070,98,93,68.627,00:15:00,1862,13.870,5,Yes,72,52.050,35.871,246.500,1.000,21
25,Disabled,26.730,98,93,70.588,00:15:01,2239.250,13.820,5,Yes,72,65.130,38.156,258.750,1.001,26
26,Disabled,26.770,98,93,66.275,00:15:02,2640.750,13.795,5,Yes,69,72.540,38.859,240.250,1,32
27,Disabled,27.453,98,93,76.863,00:15:03,2391,13.795,5,Yes,74,77.050,39.992,196,1.510,37
28,Disabled,31.184,98,93,86.667,00:15:03,2102.500,13.795,5,Yes,90,74.810,43.977,342.250,1.001,41
29,Disabled,32.473,98,93,85.490,00:15:04,2198.750,13.795,5,Yes,90,78.010,44.973,325,1,45
30,Disabled,32.824,98,93,87.059,00:15:05,2281.250,13.795,5,Yes,91,81.590,45.695,329.250,1.000,49
31,Disabled,6.457,98,92,35.294,00:15:15,1166.750,13.845,5,Yes,40,16.260,24.660,75,0.999,60
