Num,1. Accelerator Pedal Position (APP) Indicated Angle (%),2. Air Flow Calculated (g/s),3. Barometric Pressure (BARO) (kPa),4. Calculated Three Way Catalyst (TWC) Temperature Bank 1 (degree C),5. Calculated Three Way Catalyst (TWC) Temperature Bank 2 (degree C),6. Catalytic Converter Protection Active,7. Cmmd. A/F Equivalence Ratio (: 1),8. Deceleration Fuel Cutoff,9. Engine Coolant Temperature (ECT) Sensor (degree C),10. Engine Load (%),11. Engine Run Time,12. Engine Speed (rpm),13. Evaporative Emission (EVAP) Purge Solenoid Command (%),14. Fuel Alcohol Content (%),15. Fuel Composition Learn,16. Fuel Tank Level Remaining (%),17. Fuel Trim Cell (   ),18. Fuel Trim Learn,19. Fuel Trim System Test State,20. Fuel Volatility,21. Heated Oxygen Sensor (HO2S) Bank 1 Sensor 1 (mV),22. Heated Oxygen Sensor (HO2S) Bank 1 Sensor 2 (mV),23. Heated Oxygen Sensor (HO2S) Bank 2 Sensor 1 (mV),24. Heated Oxygen Sensor (HO2S) Bank 2 Sensor 2 (mV),25. Hot Open Loop,26. Ignition 1 Signal (V),27. Injector PWM Bank 1 (ms),28. Injector PWM Bank 2 (ms),29. Intake Air Temperature (IAT) Sensor (degree C),30. Intake Manifold Pressure (kPa),31. Long Term Fuel Trim (FT) Bank 1 (%),32. Long Term Fuel Trim (FT) Bank 2 (%),33. Loop Status,34. LT Fuel Trim (FT) Test Average Bank 1 (   ),35. LT Fuel Trim (FT) Test Average Bank 1 w/o Purge (   ),36. LT Fuel Trim (FT) Test Average Bank 2 (   ),37. LT Fuel Trim (FT) Test Average Bank 2 w/o Purge (   ),38. Malfunction Indicator Lamp (MIL) Requested By DTC,39. Manifold Absolute Pressure (MAP) Performance Test 1,40. Manifold Absolute Pressure (MAP) Performance Test 2,41. Manifold Absolute Pressure (MAP) Sensor (kPa),42. Mass Air Flow (MAF) Performance Test,43. Mass Air Flow (MAF) Sensor (g/s),44. Power Enrichment,45. Short Term Fuel Trim (FT) Bank 1 (%),46. Short Term Fuel Trim (FT) Bank 2 (%),47. Spark (deg),48. ST Fuel Trim (FT) Test Average Bank 1 (   ),49. ST Fuel Trim (FT) Test Average Bank 2 (   ),50. Throttle Position (TP) Indicated Angle (%),51. Throttle Position (TP) Performance Test,52. Vehicle Speed Sensor (km/h)
1,28.859,46.742,99,697,697,No,1,Inactive,96,92.941,00:06:19,1211.250,100,20.500,Active,98.931,1,Enabled,Disabled,Low,716.146,759.549,151.910,759.549,Inactive,13.795,9.706,9.525,7,4,-11.719,-13.281,Closed,0,0.820,0,0.812,Yes,OK,OK,94,OK,46.320,Inactive,-0.781,-1.562,7.500,0,0,42.648,OK,60
2,30.109,61.945,99,697,697,No,1,Inactive,96,90.588,00:06:19,1604.250,100,20.500,Active,98.931,1,Enabled,Disabled,Low,108.507,742.188,134.549,742.188,Inactive,13.820,9.435,9.600,7,6,-11.719,-13.281,Closed,0,0.820,0,0.812,Yes,OK,OK,93,OK,58.180,Inactive,5.469,7.812,12,0,0,43.918,OK,60
3,30.109,70.141,99,699,699,No,1,Inactive,96,86.667,00:06:20,1851.750,100,20.500,Active,98.931,9,Enabled,Disabled,Low,82.465,724.826,243.056,742.188,Inactive,13.795,9.390,9.240,7,7,-11.719,-13.281,Closed,0,0.820,0,0.812,Yes,OK,OK,92,OK,65.730,Inactive,7.031,0.781,17,0,0,44.348,OK,61
4,28.918,70.594,99,699,699,No,1,Inactive,96,87.843,00:06:20,1857,0,20.500,Active,98.931,9,Enabled,Disabled,Low,91.146,664.062,60.764,651.042,Inactive,13.820,9.736,9.555,7,7,-16.406,-17.188,Closed,0,0.820,0,0.812,Yes,OK,OK,92,OK,67.290,Inactive,14.062,11.719,16.500,0,0,44.348,OK,61
5,23.918,62.195,99,699,699,No,1,Inactive,96,80.392,00:06:20,1807.500,0,20.500,Active,98.931,9,Enabled,Disabled,Low,269.097,677.083,112.847,611.979,Inactive,13.820,8.999,8.804,7,15,-17.188,-17.969,Closed,0,0.820,0,0.812,Yes,OK,OK,85,OK,58.960,Inactive,17.188,15.625,19.500,0,0,39.367,OK,62
6,17.531,55.617,99,700,700,No,1,Inactive,96,71.765,00:06:21,1755.500,0,20.500,Active,98.931,9,Enabled,Disabled,Low,82.465,720.486,785.590,690.104,Inactive,13.820,7.752,7.978,7,20,-17.188,-17.969,Closed,0,0.820,0,0.812,Yes,OK,OK,80,OK,51.050,Inactive,14.062,17.969,19.500,0,0,36.262,OK,62
7,12.746,40.984,99,700,700,No,1,Inactive,96,57.255,00:06:21,1602.250,0,20.500,Active,98.931,9,Enabled,Disabled,Low,798.611,716.146,73.785,690.104,Inactive,13.845,6.475,6.100,7,35,-16.406,-17.188,Closed,0,0.828,0,0.812,Yes,OK,OK,66,OK,37.080,Inactive,18.750,13.281,24.500,0,0,32.277,OK,62
8,7.316,29.539,99,700,700,No,1,Inactive,96,43.529,00:06:22,1471,0,20.500,Active,98.931,8,Enabled,Disabled,Low,108.507,724.826,802.951,685.764,Inactive,13.845,4.733,4.838,7,46,-16.406,-16.406,Closed,0,0.828,0,0.820,Yes,OK,OK,54,OK,25.900,Inactive,16.406,18.750,29,0,0,28.449,OK,62
9,4.250,22.039,99,700,700,No,1,Inactive,96,38.431,00:06:22,1313,0,20.500,Active,98.931,8,Enabled,Disabled,Low,837.674,729.167,837.674,690.104,Inactive,13.845,4.102,4.117,7,53,-15.625,-16.406,Closed,0,0.828,0,0.820,Yes,OK,OK,47,OK,20.300,Inactive,17.969,18.750,33,0,0,26.457,OK,62
10,0.500,15.719,99,699,699,No,1,Inactive,96,29.412,00:06:23,1180,0,20.500,Active,98.931,15,Enabled,Disabled,Low,811.632,733.507,785.590,694.444,Inactive,13.845,3.380,3.335,7,60,-15.625,-16.406,Closed,0,0.828,0,0.820,Yes,OK,OK,39,OK,14.100,Inactive,10.156,8.594,39,0,0,23.488,OK,61
11,0.500,12.180,99,699,699,No,1,Inactive,96,27.451,00:06:23,1117.750,0,20.500,Active,98.931,15,Enabled,Disabled,Low,768.229,733.507,555.556,711.806,Inactive,13.770,5.814,5.454,7,41,-15.625,-16.406,Closed,0,0.828,0,0.820,Yes,OK,OK,58,OK,12.750,Inactive,14.844,14.062,11.500,0,0,22.629,OK,61
12,0.500,12.008,99,699,699,No,1,Inactive,96,23.529,00:06:23,1134.750,0,20.500,Active,98.931,15,Enabled,Disabled,Low,711.806,724.826,842.014,711.806,Inactive,13.746,5.439,4.943,7,41,-15.625,-15.625,Closed,0,0.828,0,0.820,Yes,OK,OK,56,OK,11.550,Inactive,9.375,9.375,12,0,0,21.496,OK,59
13,13.977,14.500,99,699,699,No,1,Inactive,96,57.647,00:06:24,1131.250,0,20.500,Active,98.931,8,Enabled,Disabled,Low,125.868,720.486,759.549,698.785,Inactive,13.746,8.308,7.797,7,28,-15.625,-15.625,Closed,0,0.836,0,0.828,Yes,OK,OK,68,OK,24.990,Inactive,14.062,7.812,9.500,0,0,31.008,OK,58
14,14.660,40.594,99,699,699,No,1,Inactive,96,63.137,00:06:24,1428.750,0,20.500,Active,98.931,9,Enabled,Disabled,Low,768.229,759.549,121.528,694.444,Inactive,13.845,6.821,6.821,7,27,-14.844,-15.625,Closed,0,0.836,0,0.828,Yes,OK,OK,73,OK,36.460,Inactive,8.594,2.344,10.500,0,0,33,OK,59
15,9.367,35.664,99,698,698,No,1,Inactive,96,54.510,00:06:25,1511,0,20.500,Active,98.931,9,Enabled,Disabled,Low,86.806,737.847,473.090,690.104,Inactive,13.820,5.754,5.619,7,38,-14.844,-14.844,Closed,0,0.836,0,0.828,Yes,OK,OK,62,OK,32.130,Inactive,13.281,13.281,26.500,0,0,29.445,OK,58
16,0.500,16.625,99,698,698,No,1,Inactive,96,26.275,00:06:25,1219.750,0,20.500,Active,98.931,15,Enabled,Disabled,Low,716.146,737.847,190.972,690.104,Inactive,13.795,3.200,3.050,7,60,-14.844,-14.062,Closed,0,0.836,0,0.828,Yes,OK,OK,41,OK,13.220,Inactive,18.750,13.281,39,0,0,23.059,OK,57
17,0.500,13.820,99,698,698,No,1,Inactive,96,30.980,00:06:25,1095.500,0,20.500,Active,98.931,15,Enabled,Disabled,Low,815.972,737.847,811.632,694.444,Inactive,13.820,3.020,3.170,7,62,-14.062,-14.062,Closed,0,0.836,0,0.828,Yes,OK,OK,38,OK,13.680,Inactive,9.375,14.844,29.500,0,0,23.195,OK,57
18,8.840,13.906,99,697,697,No,1,Inactive,96,62.353,00:06:26,1082.500,0,20.500,Active,98.931,8,Enabled,Disabled,Low,807.292,742.188,868.056,698.785,Inactive,13.820,3.050,3.110,7,61,-14.062,-14.062,Closed,0,0.836,0,0.828,Yes,OK,OK,49,OK,14.770,Inactive,4.688,6.250,21,0,0,26.457,OK,57
19,14.230,29.852,99,697,697,No,1,Inactive,96,66.275,00:06:26,1276,0,20.500,Active,98.931,8,Enabled,Disabled,Low,108.507,742.188,668.403,698.785,Inactive,13.820,6.235,5.589,7,37,-14.062,-14.062,Closed,0,0.836,0,0.828,Yes,OK,OK,60,OK,33.040,Inactive,13.281,3.906,22,0,0,31.574,OK,56
20,21.730,49.320,99,697,697,No,1,Inactive,96,81.961,00:06:27,1582.250,0,20.500,Active,98.931,9,Enabled,Disabled,Low,442.708,776.910,820.312,720.486,Inactive,13.820,8.023,8.534,7,20,-14.062,-14.062,Closed,0,0.836,0,0.828,Yes,OK,OK,78,OK,52.970,Inactive,7.812,11.719,17.500,0,0,37.395,OK,56
21,22.062,56.047,99,697,697,No,1,Inactive,96,78.824,00:06:27,1723.250,0,20.500,Active,98.931,9,Enabled,Disabled,Low,568.576,772.569,290.799,729.167,Inactive,13.820,8.308,8.639,7,18,-13.281,-13.281,Closed,0,0.836,0,0.828,Yes,OK,OK,82,OK,55.760,Inactive,7.812,11.719,18.500,0,0,38.098,OK,57
22,23.723,56.992,99,697,697,No,1,Inactive,96,79.216,00:06:27,1732.500,0,20.500,Active,98.931,9,Enabled,Disabled,Low,234.375,772.569,195.312,742.188,Inactive,13.820,9.075,8.849,7,17,-12.500,-13.281,Closed,0,0.836,0,0.828,Yes,OK,OK,82,OK,58.310,Inactive,7.812,6.250,18.500,0,0,38.664,OK,57
23,25.363,60.336,99,699,699,No,1,Inactive,96,83.137,00:06:28,1758.750,0,20.500,Active,98.931,9,Enabled,Disabled,Low,264.757,772.569,672.743,750.868,Inactive,13.820,9.270,8.609,7,14,-12.500,-13.281,Closed,0,0.852,0,0.844,Yes,OK,OK,85,OK,59.100,Inactive,13.281,7.031,17.500,0,0,39.660,OK,58
24,25.754,61.773,99,699,699,No,1,Inactive,96,81.569,00:06:28,1784,0,20.500,Active,98.931,9,Enabled,Disabled,Low,668.403,776.910,789.931,759.549,Inactive,13.820,9.210,8.549,7,14,-12.500,-13.281,Closed,0,0.859,0,0.852,Yes,OK,OK,86,OK,60.160,Inactive,12.500,12.500,15.500,0,0,39.953,OK,59
25,27.785,66.234,99,701,701,No,1,Inactive,96,84.314,00:06:29,1826.500,0,20.500,Active,98.931,9,Enabled,Disabled,Low,811.632,785.590,807.292,759.549,Inactive,13.795,9.225,9.165,7,10,-11.719,-12.500,Closed,0,0.867,0,0.859,Yes,OK,OK,88,OK,65.130,Inactive,12.500,12.500,15,0,0,42.648,OK,60
26,32.473,71.305,99,701,701,No,1,Inactive,96,89.804,00:06:29,1864,0,20.500,Active,98.931,9,Enabled,Disabled,Low,516.493,781.250,807.292,755.208,Inactive,13.820,9.751,10.261,7,7,-11.719,-12.500,Closed,0,0.867,0,0.867,Yes,OK,OK,92,OK,67.600,Inactive,7.031,12.500,14,0,0,45.754,OK,60
27,36.555,76.195,99,701,701,No,1,Inactive,96,89.804,00:06:29,1931,0,20.500,Active,98.931,9,Enabled,Disabled,Low,186.632,768.229,724.826,750.868,Inactive,13.820,10.622,10.442,7,5,-10.938,-11.719,Closed,0,0.875,0,0.867,Yes,OK,OK,95,OK,70.320,Inactive,12.500,11.719,9,0,0,49.035,OK,61
28,37.492,80.906,99,704,704,No,1,Inactive,96,89.412,00:06:30,2024.500,0,20.500,Active,98.931,9,Enabled,Disabled,Low,325.521,772.569,716.146,742.188,Inactive,13.746,10.081,10.412,7,4,-10.156,-11.719,Closed,0,0.883,0,0.875,Yes,OK,OK,95,OK,74.280,Inactive,7.812,11.719,13,0,0,50.305,OK,62
29,37.453,83.680,99,704,704,No,1,Inactive,96,89.412,00:06:30,2093.750,0,20.500,Active,98.931,9,Enabled,Disabled,Low,759.549,768.229,581.597,729.167,Inactive,13.746,10.727,10.562,7,4,-9.375,-10.938,Closed,0,0.891,0,0.883,Yes,OK,OK,95,OK,78.010,Inactive,12.500,12.500,14.500,0,0,50.441,OK,62
30,37.453,84.094,99,709,709,No,1,Inactive,96,89.804,00:06:31,2104.250,0,20.500,Active,98.931,9,Enabled,Disabled,Low,316.840,768.229,199.653,720.486,Inactive,13.770,10.246,10.577,7,4,-8.594,-10.938,Closed,0,0.898,0,0.883,Yes,OK,OK,95,OK,77.630,Inactive,7.031,11.719,14.500,0,0,50.441,OK,64
31,37.395,84.695,99,709,709,No,1,Inactive,96,90.196,00:06:31,2115.500,0,20.500,Active,98.931,9,Enabled,Disabled,Low,789.931,776.910,208.333,716.146,Inactive,13.770,10.276,10.622,7,4,-8.594,-10.156,Closed,0,0.898,0,0.891,Yes,OK,OK,95,OK,78.010,Inactive,12.500,11.719,15,0,0,50.305,OK,64
