Num,1. * Park/Neutral Position (PNP) Switch (If Equipped),2. Accelerator Pedal Position (APP) Indicated Angle (%),3. Air Conditioning (A/C) Relay Command,4. Air Flow Calculated (g/s),5. Ambient Air Temperature (degree C),6. Barometric Pressure (BARO) (kPa),7. Brake Pedal Position (BPP) Signal,8. Cold Startup,9. Cruise Control Active,10. Deceleration Fuel Cutoff,11. Desired Idle Speed (rpm),12. Engine Control (EC) Ignition Relay Command,13. Engine Control (EC) Ignition Relay Feedback Signal (V),14. Engine Coolant Temperature (ECT) Sensor (degree C),15. Engine Load (%),16. Engine Oil Level Switch,17. Engine Oil Pressure Sensor (kPa),18. Engine Run Time,19. Engine Speed (rpm),20. Evaporative Emission (EVAP) Purge Solenoid Command (%),21. Evaporative Emission (EVAP) Vent Solenoid Command,22. Fuel Pump Relay Circuit Open Test Status,23. Fuel Pump Relay Circuit Short Gnd Test Status,24. Fuel Pump Relay Circuit Short Volts Test Status,25. Fuel Pump Relay Command,26. Fuel Tank Level Remaining (%),27. Fuel Tank Pressure Sensor (mmHg),28. Fuel Trim Cell (   ),29. Heated Oxygen Sensor (HO2S) Bank 1 Sensor 1 (mV),30. Heated Oxygen Sensor (HO2S) Bank 1 Sensor 2 (mV),31. Heated Oxygen Sensor (HO2S) Bank 2 Sensor 1 (mV),32. Heated Oxygen Sensor (HO2S) Bank 2 Sensor 2 (mV),33. Ignition 1 Signal (V),34. Ignition Accessory Signal,35. Ignition Off Time (min),36. Injector PWM Bank 1 (ms),37. Injector PWM Bank 2 (ms),38. Intake Air Temperature (IAT) Sensor (degree C),39. Intake Manifold Pressure (kPa),40. Long Term Fuel Trim (FT) Bank 1 (%),41. Long Term Fuel Trim (FT) Bank 2 (%),42. Loop Status,43. Malfunction Indicator Lamp (MIL) Circuit Open Test Status,44. Malfunction Indicator Lamp (MIL) Circuit Short Gnd Test Status,45. Malfunction Indicator Lamp (MIL) Circuit Short Volts Test Status,46. Malfunction Indicator Lamp (MIL) Command,47. Malfunction Indicator Lamp (MIL) Requested By DTC,48. Manifold Absolute Pressure (MAP) Sensor (kPa),49. Mass Air Flow (MAF) Sensor (g/s),50. Power Enrichment,51. Short Term Fuel Trim (FT) Bank 1 (%),52. Short Term Fuel Trim (FT) Bank 2 (%),53. Spark (deg),54. Throttle Position (TP) Indicated Angle (%),55. Vehicle Speed Sensor (km/h),56. Warm-Ups Since DTC Cleared (counts),57. Warm-Ups w/o Emission Faults (   ),58. Warm-Ups w/o Non-Emission Faults (   )
1,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.606,14,451.389,438.368,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
2,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.606,14,447.049,434.028,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
3,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.613,14,447.049,438.368,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
4,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.615,14,442.708,434.028,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
5,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.615,14,447.049,438.368,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
6,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.615,14,442.708,434.028,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
7,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.615,14,447.049,434.028,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
8,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.615,14,451.389,438.368,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
9,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.615,14,447.049,434.028,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
10,Park/Neutral,0.500,Off,0,4,98,Released,No,Inactive,Inactive,1200,On,11.700,22,0,OK,20,00:00:00,0,0,Venting,OK,Not Run,OK,Off,98.931,1.615,14,447.049,438.368,447.049,447.049,11.704,On,0,0,0,14,0,-17.188,-18.750,Open,Not Run,Not Run,OK,On,No,98,0,Inactive,0,0,11,25.500,0,0,0,0
