Row,5 Volt Reference 1 [V],5 Volt Reference 2 [V],Accelerator Pedal Position (APP) Indicated Angle [%],Barometric Pressure (BARO) [kPa],Camshaft Position (CMP) Active Counter [counts],Camshaft Position (CMP) Sensor [rpm],Crankshaft Position (CKP) Active Counter [counts],Crankshaft Position (CKP) Resync Counter [counts],Crankshaft Position (CKP) Sensor [rpm],Engine Coolant Temperature (ECT) Sensor [degree C],Engine Load [%],Engine Run Time,Engine Speed [rpm],Ignition 1 Signal [V],Intake Air Temperature (IAT) Sensor [degree C],Knock Detected Cylinder 1,Knock Detected Cylinder 2,Knock Detected Cylinder 3,Knock Detected Cylinder 4,Knock Detected Cylinder 5,Knock Detected Cylinder 6,Knock Detected Cylinder 7,Knock Detected Cylinder 8,Knock Retard [deg],Malfunction Indicator Lamp (MIL) Requested By DTC,Manifold Absolute Pressure (MAP) Sensor [kPa],Mass Air Flow (MAF) Sensor [g/s],Spark [deg],Throttle Position (TP) Indicated Angle [%],Torque Management Spark Retard [deg],Total Knock Retard [deg],Vehicle Speed Sensor [km/h]
1,5.043,5.065,0.500,98,92,623,95,0,628,40,22.353,00:02:15,625.250,14.318,13,No,No,No,No,No,No,No,No,0,No,35,7.070,25.500,18.820,0,0,0
2,5.043,5.065,0.500,98,104,605,194,0,604,40,22.353,00:02:16,616.250,14.293,13,No,No,No,No,No,No,No,No,0,No,35,6.970,27.500,18.684,0,0,0
3,5.043,5.065,0.500,98,117,630,43,0,622,40,21.961,00:02:16,617.750,14.318,13,No,No,No,No,No,No,No,No,0,No,34,6.950,23.500,18.684,0,0,0
4,5.043,5.065,0.500,98,129,599,137,0,596,41,22.745,00:02:17,596,14.293,13,No,No,No,No,No,No,No,No,0,No,35,7.080,28.500,18.820,0,0,0
5,5.043,5.065,0.500,98,141,613,241,0,585,41,22.353,00:02:17,588,14.318,13,No,No,No,No,No,No,No,No,0,No,34,6.800,30,18.684,0,0,0
6,5.043,5.065,0.500,98,153,567,70,0,552,41,23.922,00:02:18,550.500,14.268,13,No,No,No,No,No,No,No,No,0,No,36,7.370,30,19.113,0,0,0
7,5.043,5.065,0.500,98,165,642,159,0,654,41,21.961,00:02:19,656,14.293,13,No,No,No,No,No,No,No,No,0,No,36,6.890,19,18.684,0,0,0
8,5.043,5.065,0.500,98,177,588,11,0,569,41,21.961,00:02:19,568.250,14.393,13,No,No,No,No,No,No,No,No,0,No,34,6.670,31,18.684,0,0,0
9,5.043,5.065,0.500,98,189,611,88,0,626,41,21.176,00:02:20,632.500,14.318,13,No,No,No,No,No,No,No,No,0,No,37,6.610,24,18.117,0,0,0
10,5.043,5.065,0.500,98,201,609,200,0,604,41,22.353,00:02:20,602.750,14.368,13,No,No,No,No,No,No,No,No,0,No,34,6.930,27.500,18.684,0,0,0
11,5.043,5.043,0.500,98,213,565,29,0,543,41,24.706,00:02:21,557,14.368,13,No,No,No,No,No,No,No,No,0,No,37,7.510,33,19.250,0,0,0
12,5.043,5.065,0.500,98,226,653,137,0,640,41,21.569,00:02:22,648.250,14.293,13,No,No,No,No,No,No,No,No,0,No,34,6.680,20,18.547,0,0,0
13,5.043,5.065,0.500,98,238,606,240,0,603,41,21.569,00:02:22,613.250,14.268,13,No,No,No,No,No,No,No,No,0,No,34,6.670,27,18.391,0,0,0
14,5.043,5.065,0.500,98,250,560,60,0,540,41,23.529,00:02:23,555,14.244,13,No,No,No,No,No,No,No,No,0,No,36,7.240,32.500,18.820,0,0,0
15,5.043,5.043,0.500,98,6,648,166,0,653,41,21.569,00:02:23,654.750,14.343,13,No,No,No,No,No,No,No,No,0,No,34,6.740,19.500,18.547,0,0,0
16,5.043,5.065,0.500,98,18,566,11,0,584,41,21.569,00:02:24,581.250,14.318,13,No,No,No,No,No,No,No,No,0,No,34,6.940,31,18.684,0,0,0
17,5.043,5.043,0.500,98,30,602,96,0,604,41,23.137,00:02:25,614,14.268,13,No,No,No,No,No,No,No,No,0,No,36,7.110,27,18.820,0,0,0
18,5.043,5.065,0.500,98,43,571,199,0,594,41,21.176,00:02:25,589.750,14.194,13,No,No,No,No,No,No,No,No,0,No,34,6.760,30.500,18.684,0,0,0
19,5.043,5.065,0.500,98,54,565,32,0,591,42,22.353,00:02:26,587.750,14.268,13,No,No,No,No,No,No,No,No,0,No,36,7.150,32,18.820,0,0,0
20,5.043,5.043,0.500,98,67,596,135,0,621,42,21.961,00:02:26,619,14.343,13,No,No,No,No,No,No,No,No,0,No,34,6.720,26.500,18.547,0,0,0
21,5.043,5.065,0.500,98,79,620,232,0,620,42,21.569,00:02:27,619.750,14.293,13,No,No,No,No,No,No,No,No,0,No,34,6.740,25,18.547,0,0,0
22,5.043,5.065,0.500,98,91,611,69,0,615,42,21.569,00:02:28,614.500,14.268,13,No,No,No,No,No,No,No,No,0,No,34,6.730,26,18.547,0,0,0
23,5.043,5.065,0.500,98,103,596,145,0,614,42,23.922,00:02:28,613.750,14.293,13,No,No,No,No,No,No,No,No,0,No,37,7.340,26.500,18.957,0,0,0
24,5.043,5.065,0.500,98,115,630,0,0,622,42,21.569,00:02:29,632.750,14.268,13,No,No,No,No,No,No,No,No,0,No,34,6.640,22,18.391,0,0,0
25,5.043,5.043,0.500,98,127,594,89,0,598,42,21.569,00:02:29,604.250,14.244,13,No,No,No,No,No,No,No,No,0,No,34,6.760,29,18.547,0,0,0
26,5.043,5.065,0.500,98,139,561,169,0,580,42,21.569,00:02:30,587,14.194,13,No,No,No,No,No,No,No,No,0,No,36,6.840,32,18.547,0,0,0
27,5.043,5.043,0.500,98,151,614,17,0,617,42,22.353,00:02:31,616.250,14.218,13,No,No,No,No,No,No,No,No,0,No,34,6.870,25,18.547,0,0,0
28,5.043,5.065,0.500,98,163,609,120,0,611,42,21.961,00:02:31,610,14.293,13,No,No,No,No,No,No,No,No,0,No,34,6.850,26,18.547,0,0,0
29,5.043,5.043,0.500,98,175,577,211,0,591,42,22.353,00:02:32,590.250,14.293,13,No,No,No,No,No,No,No,No,0,No,35,6.910,31.500,18.820,0,0,0
30,5.043,5.065,0.500,98,187,617,41,0,615,42,22.353,00:02:32,631.750,14.194,13,No,No,No,No,No,No,No,No,0,No,35,6.840,24.500,18.684,0,0,0
31,5.043,5.043,0.500,98,199,597,141,0,607,42,21.569,00:02:33,606,14.244,13,No,No,No,No,No,No,No,No,0,No,34,6.740,28,18.547,0,0,0
32,5.043,5.043,0.500,98,211,597,216,0,605,43,22.745,00:02:34,602.250,14.343,13,No,No,No,No,No,No,No,No,0,No,36,7.050,29.500,18.820,0,0,0
33,5.043,5.065,0.500,98,223,628,63,0,620,43,21.961,00:02:34,628.500,14.244,13,No,No,No,No,No,No,No,No,0,No,34,6.780,23,18.547,0,0,0
34,5.043,5.065,0.500,98,235,581,150,0,580,43,21.961,00:02:35,585.750,14.244,13,No,No,No,No,No,No,No,No,0,No,35,6.760,31,18.547,0,0,0
35,5.043,5.065,0.500,98,247,591,225,0,617,43,22.353,00:02:35,619.250,14.293,13,No,No,No,No,No,No,No,No,0,No,36,7,26,18.684,0,0,0
36,5.043,5.065,0.500,98,3,601,74,0,603,43,20.784,00:02:36,601,14.318,13,No,No,No,No,No,No,No,No,0,No,34,6.530,26.500,18.391,0,0,0
37,5.043,5.065,0.500,98,14,502,145,0,511,43,23.137,00:02:37,520.250,14.318,13,No,No,No,No,No,No,No,No,0,No,37,7.620,32.500,19.543,0,0,0
38,5.043,5.065,0.500,98,26,641,235,0,649,43,21.176,00:02:37,652.500,14.343,13,No,No,No,No,No,No,No,No,0,No,35,6.560,19.500,18.391,0,0,0
39,5.043,5.043,0.500,98,39,600,82,0,608,43,21.176,00:02:38,601.500,14.318,13,No,No,No,No,No,No,No,No,0,No,34,6.630,26.500,18.391,0,0,0
40,5.043,5.065,0.500,98,50,521,145,0,515,43,25.098,00:02:38,512.750,14.168,13,No,No,No,No,No,No,No,No,0,No,38,7.320,33.500,18.820,0,0,0
41,5.043,5.043,0.500,98,61,661,236,0,659,43,20.784,00:02:39,659.500,14.393,13,No,No,No,No,No,No,No,No,0,No,35,6.500,18.500,18.254,0,0,0
42,5.043,5.065,0.500,98,74,574,82,0,560,43,20.392,00:02:40,558.250,14.443,13,No,No,No,No,No,No,No,No,0,No,34,6.630,31,18.391,0,0,0
43,5.043,5.065,0.500,98,85,574,157,0,560,43,22.353,00:02:40,573.250,14.417,13,No,No,No,No,No,No,No,No,0,No,36,6.760,32,18.684,0,0,0
44,5.043,5.065,0.500,98,98,609,2,0,584,43,21.569,00:02:41,593,14.343,13,No,No,No,No,No,No,No,No,0,No,34,6.600,30,18.391,0,0,0
45,5.043,5.043,0.500,98,109,579,82,0,564,43,21.961,00:02:41,574,14.318,13,No,No,No,No,No,No,No,No,0,No,35,6.780,30.500,18.547,0,0,0
46,5.043,5.065,0.500,98,121,584,156,0,603,43,22.353,00:02:42,587.250,14.318,13,No,No,No,No,No,No,No,No,0,No,36,6.920,28,18.684,0,0,0
47,5.043,5.065,0.500,98,133,618,249,0,592,43,21.176,00:02:43,556.250,14.218,13,No,No,No,No,No,No,No,No,0,No,35,6.750,27,18.391,0,0,0
48,5.043,5.043,0.500,98,144,579,71,0,581,43,21.569,00:02:43,579.500,14.318,13,No,No,No,No,No,No,No,No,0,No,36,6.820,31,18.547,0,0,0
