Num,1. Accelerator Pedal Position (APP) Indicated Angle (Cylinder 5 Instrument Cluster (IC) Circuit Open Test Status),2. Air Conditioning (A/C) Relay Command (Cylinder 5 Instrument Cluster (IC) Circuit Short Gnd Test Status),3. Air Flow Calculated (Cylinder 5 Instrument Cluster (IC) Circuit Short Volts Test Status),4. Calculated Three Way Catalyst (TWC) Temperature Bank 1 (Cylinder 6 Injector Circuit Open Test Status),5. Calculated Three Way Catalyst (TWC) Temperature Bank 2 (Cylinder 6 Injector Circuit Short Gnd Test Status),6. Camshaft Position (CMP) Sensor (Cylinder 6 Injector Circuit Short Volts Test Status),7. Cycles Of Misfire Data (Cylinder 6 Instrument Cluster (IC) Circuit Open Test Status),8. Cylinder 1 Injector Circuit Open Test Status (Cylinder 6 Instrument Cluster (IC) Circuit Short Gnd Test Status),9. Cylinder 1 Injector Circuit Short Gnd Test Status (Cylinder 6 Instrument Cluster (IC) Circuit Short Volts Test Status),10. Cylinder 1 Injector Circuit Short Volts Test Status (Cylinder 7 Injector Circuit Open Test Status),11. Cylinder 1 Instrument Cluster (IC) Circuit Open Test Status (Cylinder 7 Injector Circuit Short Gnd Test Status),12. Cylinder 1 Instrument Cluster (IC) Circuit Short Gnd Test Status (Cylinder 7 Injector Circuit Short Volts Test Status),13. Cylinder 1 Instrument Cluster (IC) Circuit Short Volts Test Status (Cylinder 7 Instrument Cluster (IC) Circuit Open Test Status),14. Cylinder 2 Injector Circuit Open Test Status (Cylinder 7 Instrument Cluster (IC) Circuit Short Gnd Test Status),15. Cylinder 2 Injector Circuit Short Gnd Test Status (Cylinder 7 Instrument Cluster (IC) Circuit Short Volts Test Status),16. Cylinder 2 Injector Circuit Short Volts Test Status (Cylinder 8 Injector Circuit Open Test Status),17. Cylinder 2 Instrument Cluster (IC) Circuit Open Test Status (Cylinder 8 Injector Circuit Short Gnd Test Status),18. Cylinder 2 Instrument Cluster (IC) Circuit Short Gnd Test Status (Cylinder 8 Injector Circuit Short Volts Test Status),19. Cylinder 2 Instrument Cluster (IC) Circuit Short Volts Test Status (Cylinder 8 Instrument Cluster (IC) Circuit Open Test Status),20. Cylinder 3 Injector Circuit Open Test Status (Cylinder 8 Instrument Cluster (IC) Circuit Short Gnd Test Status),21. Cylinder 3 Injector Circuit Short Gnd Test Status (Cylinder 8 Instrument Cluster (IC) Circuit Short Volts Test Status),22. Cylinder 3 Injector Circuit Short Volts Test Status (Cylinder Deactivation Performance Test),23. Cylinder 3 Instrument Cluster (IC) Circuit Open Test Status (Engine Coolant Temperature (ECT) Sensor),24. Cylinder 3 Instrument Cluster (IC) Circuit Short Gnd Test Status (Engine Load),25. Cylinder 3 Instrument Cluster (IC) Circuit Short Volts Test Status (Engine Oil Pressure Sensor),26. Cylinder 4 Injector Circuit Open Test Status (Engine Run Time),27. Cylinder 4 Injector Circuit Short Gnd Test Status (Engine Speed),28. Cylinder 4 Injector Circuit Short Volts Test Status (Fuel Tank Level Remaining),29. Cylinder 4 Instrument Cluster (IC) Circuit Open Test Status (Ignition 1 Signal),30. Cylinder 4 Instrument Cluster (IC) Circuit Short Gnd Test Status (Injector 1 Disabled Due To Misfire),31. Cylinder 4 Instrument Cluster (IC) Circuit Short Volts Test Status (Injector 2 Disabled Due To Misfire),32. Cylinder 5 Injector Circuit Open Test Status (Injector 3 Disabled Due To Misfire),33. Cylinder 5 Injector Circuit Short Gnd Test Status (Injector 4 Disabled Due To Misfire),34. Cylinder 5 Injector Circuit Short Volts Test Status (Injector 5 Disabled Due To Misfire)
1,0.500,Off,6.141,296,296,543,99,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
2,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.569,332,00:03:26,522.250,98.931,14.293,No,No,No,No,No
3,No,No,No,2.314,2.194,13,No,36,6.650,0,4,0,0,0,0,98,0,0,2,0,0,0,1,357,0,Inactive,31.500,18.391,84,0,0.500,Off,5.969,295
4,295,537,1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.961,332,00:03:27,541.750,98.931,14.467,No,No,No,No,No,No,No,No,2.524
6,2.389,13,No,38,6.800,0,0,0,0,0,0,2,0,0,6,0,0,0,1,455,0,Inactive,32.500,18.684,102,0,0.500,Off,6.352,295,295,594,3,OK
7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
8,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.784,332,00:03:27,594.750,98.931,14.467,No,No,No,No,No,No,No,No,2.329,2.224,13,No,36
9,6.460,0,0,0,0,0,0,2,0,0,6,0,0,0,1,455,0,Inactive,26,18.254,102,0,0.500,Off,6.117,295,295,599,5,OK,OK,OK,OK,OK
10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
11,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.392,328,00:03:28,601,98.931,14.417,No,No,No,No,No,No,No,No,2.163,2.058,13,No,35,6.390,0,0,0
12,0,0,0,2,0,0,6,0,0,0,1,455,0,Inactive,25,18.117,102,0,0.500,Off,5.422,295,295,534,7,OK,OK,OK,OK,OK,OK,OK,OK,OK
13,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
14,OK,OK,OK,OK,OK,OK,47,20.784,332,00:03:28,533,98.931,14.417,No,No,No,No,No,No,No,No,2.299,2.194,13,No,36,6.500,0,0,0,0,0,0,4
15,0,0,6,0,0,0,1,455,0,Inactive,31.500,18.254,102,0,0.500,Off,5.617,295,295,529,9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
16,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
17,OK,OK,47,21.176,328,00:03:28,543.750,98.931,14.268,No,No,No,No,No,No,No,No,2.374,2.254,13,No,37,6.630,0,0,0,0,0,0,8,0,0,6,0
18,0,0,1,455,0,Inactive,32,18.254,102,0,0.500,Off,6.383,295,295,582,10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
19,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.176
20,324,00:03:29,590.500,98.931,14.318,No,No,No,No,No,No,No,No,2.299,2.178,13,No,36,6.580,0,0,0,0,0,0,10,0,0,6,0,0,0,1,455
21,0,Inactive,28.500,18.254,102,0,0.500,Off,6.102,295,295,582,13,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
22,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.392,332,00:03:29,560.750,98.931
23,14.343,No,No,No,No,No,No,No,No,2.194,2.088,13,No,36,6.400,0,0,0,0,0,0,12,0,0,6,0,0,0,1,455,0,Inactive,31,18.254
24,102,0,0.500,Off,5.938,295,295,573,15,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
25,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.392,328,00:03:30,566.750,98.931,14.293,No,No,No
26,No,No,No,No,No,2.209,2.088,13,No,35,6.420,0,0,0,0,0,0,12,0,0,6,0,0,0,1,455,0,Inactive,29.500,18.254,102,0,0.500,Off
27,5.805,295,295,549,17,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK
