Row,Accelerator Pedal Position (APP) Indicated Angle [%],Air Conditioning (AC) Relay Command,Air Flow Calculated [g/s],Calculated Three Way Catalyst (TWC) Temperature Bank 1 [degree C],Calculated Three Way Catalyst (TWC) Temperature Bank 2 [degree C],Camshaft Position (CMP) Sensor [rpm],Cycles Of Misfire Data,Cylinder 1 Injector Circuit Open Test Status,Cylinder 1 Injector Circuit Short Gnd Test Status,Cylinder 1 Injector Circuit Short Volts Test Status,Cylinder 1 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 1 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 1 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 2 Injector Circuit Open Test Status,Cylinder 2 Injector Circuit Short Gnd Test Status,Cylinder 2 Injector Circuit Short Volts Test Status,Cylinder 2 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 2 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 2 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 3 Injector Circuit Open Test Status,Cylinder 3 Injector Circuit Short Gnd Test Status,Cylinder 3 Injector Circuit Short Volts Test Status,Cylinder 3 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 3 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 3 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 4 Injector Circuit Open Test Status,Cylinder 4 Injector Circuit Short Gnd Test Status,Cylinder 4 Injector Circuit Short Volts Test Status,Cylinder 4 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 4 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 4 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 5 Injector Circuit Open Test Status,Cylinder 5 Injector Circuit Short Gnd Test Status,Cylinder 5 Injector Circuit Short Volts Test Status,Cylinder 5 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 5 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 5 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 6 Injector Circuit Open Test Status,Cylinder 6 Injector Circuit Short Gnd Test Status,Cylinder 6 Injector Circuit Short Volts Test Status,Cylinder 6 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 6 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 6 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 7 Injector Circuit Open Test Status,Cylinder 7 Injector Circuit Short Gnd Test Status,Cylinder 7 Injector Circuit Short Volts Test Status,Cylinder 7 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 7 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 7 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder 8 Injector Circuit Open Test Status,Cylinder 8 Injector Circuit Short Gnd Test Status,Cylinder 8 Injector Circuit Short Volts Test Status,Cylinder 8 Instrument Cluster (IC) Circuit Open Test Status,Cylinder 8 Instrument Cluster (IC) Circuit Short Gnd Test Status,Cylinder 8 Instrument Cluster (IC) Circuit Short Volts Test Status,Cylinder Deactivation Performance Test,Engine Coolant Temperature (ECT) Sensor [degree C],Engine Load [%],Engine Oil Pressure Sensor [kPa],Engine Run Time,Engine Speed [rpm],Fuel Tank Level Remaining [%],Ignition 1 Signal [V],Injector 1 Disabled Due To Misfire,Injector 2 Disabled Due To Misfire,Injector 3 Disabled Due To Misfire,Injector 4 Disabled Due To Misfire,Injector 5 Disabled Due To Misfire,Injector 6 Disabled Due To Misfire,Injector 7 Disabled Due To Misfire,Injector 8 Disabled Due To Misfire,Injector PWM Bank 1 [ms],Injector PWM Bank 2 [ms],Intake Air Temperature (IAT) Sensor [degree C],Malfunction Indicator Lamp (MIL) Requested By DTC,Manifold Absolute Pressure (MAP) Sensor [kPa],Mass Air Flow (MAF) Sensor [g/s],Misfire Current Cylinder 1,Misfire Current Cylinder 2,Misfire Current Cylinder 3,Misfire Current Cylinder 4,Misfire Current Cylinder 5,Misfire Current Cylinder 6,Misfire Current Cylinder 7,Misfire Current Cylinder 8,Misfire History Cylinder 1,Misfire History Cylinder 2,Misfire History Cylinder 3,Misfire History Cylinder 4,Misfire History Cylinder 5,Misfire History Cylinder 6,Misfire History Cylinder 7,Misfire History Cylinder 8,Power Enrichment,Spark [deg],Throttle Position (TP) Indicated Angle [%],Total Misfire [counts],Vehicle Speed Sensor [km/h]
1,0.500,Off,6.141,296,296,543,99,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.569,332,00:03:26,522.250,98.931,14.293,No,No,No,No,No,No,No,No,2.314,2.194,13,No,36,6.650,0,4,0,0,0,0,98,0,0,2,0,0,0,1,357,0,Inactive,31.500,18.391,84,0
2,0.500,Off,5.969,295,295,537,1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.961,332,00:03:27,541.750,98.931,14.467,No,No,No,No,No,No,No,No,2.524,2.389,13,No,38,6.800,0,0,0,0,0,0,2,0,0,6,0,0,0,1,455,0,Inactive,32.500,18.684,102,0
3,0.500,Off,6.352,295,295,594,3,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.784,332,00:03:27,594.750,98.931,14.467,No,No,No,No,No,No,No,No,2.329,2.224,13,No,36,6.460,0,0,0,0,0,0,2,0,0,6,0,0,0,1,455,0,Inactive,26,18.254,102,0
4,0.500,Off,6.117,295,295,599,5,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.392,328,00:03:28,601,98.931,14.417,No,No,No,No,No,No,No,No,2.163,2.058,13,No,35,6.390,0,0,0,0,0,0,2,0,0,6,0,0,0,1,455,0,Inactive,25,18.117,102,0
5,0.500,Off,5.422,295,295,534,7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.784,332,00:03:28,533,98.931,14.417,No,No,No,No,No,No,No,No,2.299,2.194,13,No,36,6.500,0,0,0,0,0,0,4,0,0,6,0,0,0,1,455,0,Inactive,31.500,18.254,102,0
6,0.500,Off,5.617,295,295,529,9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.176,328,00:03:28,543.750,98.931,14.268,No,No,No,No,No,No,No,No,2.374,2.254,13,No,37,6.630,0,0,0,0,0,0,8,0,0,6,0,0,0,1,455,0,Inactive,32,18.254,102,0
7,0.500,Off,6.383,295,295,582,10,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.176,324,00:03:29,590.500,98.931,14.318,No,No,No,No,No,No,No,No,2.299,2.178,13,No,36,6.580,0,0,0,0,0,0,10,0,0,6,0,0,0,1,455,0,Inactive,28.500,18.254,102,0
8,0.500,Off,6.102,295,295,582,13,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.392,332,00:03:29,560.750,98.931,14.343,No,No,No,No,No,No,No,No,2.194,2.088,13,No,36,6.400,0,0,0,0,0,0,12,0,0,6,0,0,0,1,455,0,Inactive,31,18.254,102,0
9,0.500,Off,5.938,295,295,573,15,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,20.392,328,00:03:30,566.750,98.931,14.293,No,No,No,No,No,No,No,No,2.209,2.088,13,No,35,6.420,0,0,0,0,0,0,12,0,0,6,0,0,0,1,455,0,Inactive,29.500,18.254,102,0
10,0.500,Off,5.805,295,295,549,17,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,47,21.176,328,00:03:30,520,98.931,14.268,No,No,No,No,No,No,No,No,2.329,2.209,13,No,36,6.550,0,0,0,0,0,0,12,0,0,6,0,0,0,1,455,0,Inactive,31.500,18.391,102,0
