"Acceleration Pedal Position[%]","Battery Voltage[V]","Cruise Control Active","Engine Coolant Temperature[degree F]","Engine Running Status ECM","Engine Speed[rpm]","Engine Torque[lb-ft]","Expected Gear Ratio","Gear Ratio","Gear Selector Position","Gear Selector Position A","Gear Selector Position B","Gear Selector Position C","Gear Selector Position PA","Ignition Status ECM","In Rpm Speed NC Sensor[rpm]","Kick Down Status","Lever Unit AW55 GT","Lever Unit PRND43L","Oil Temperature[degree C]","Quick Shift Function From GSM On/Off","Quick Shift Gear Change From GSM","Quick Shift Mode","Solenoid S1 & S2 Current[mA]","Solenoid S1 Status","Solenoid S2 Status","Solenoid S3 Current[mA]","Solenoid S3 Status","Solenoid S4 & S5 Current[mA]","Solenoid S4 Status","Solenoid S5 Status","Solenoid SLS Current[A]","Solenoid SLT Current[A]","Solenoid SLU Current[A]","Torque Control[Nm]","Torque Limitation Requested[Nm]","Torque Reduction When Changing Gear[Nm]","Vehicle Speed ABS[km/h]","Vehicle Speed SP Sensor[km/h]","Winter Mode Status"
"0","13.69","Cruise Not Active","192.2","Engine Running","665","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.69","Cruise Not Active","192.2","Engine Running","665","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","665","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","665","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","665","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","665","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","0","","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","0","Off","","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","0","Off","Off","","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","0","Off","Off","0","","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","0","Off","Off","0","Off","","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","0","Off","Off","0","Off","0","","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","0","Off","Off","0","Off","0","Off","","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","0","Off","Off","0","Off","0","Off","Off","","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","0","Off","Off","0","Off","0","Off","Off","1","","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","0","Off","Off","0","Off","0","Off","Off","1","0.86","","","","","","",""
"0","13.53","Cruise Not Active","192.2","Engine Running","666","2.215","4.66","65.53","P","Low","High","High","Low","Ignition Is On","647","Not Active","P","P","113","Off","No Gear Change","Normal","0","Off","Off","0","Off","0","Off","Off","1","0.86","0.98","","","","","",""
