Row,Acceleration Pedal Position [%],Battery Voltage [V],Cruise Control Active,Engine Coolant Temperature [degree C],Engine Running Status ECM,Engine Speed [rpm],Engine Torque [Nm],Expected Gear Ratio,Gear Ratio,Gear Selector Position,Gear Selector Position A,Gear Selector Position B,Gear Selector Position C,Gear Selector Position PA,Ignition Status ECM,In Rpm Speed NC Sensor [rpm],Kick Down Status,Lever Unit AW55 GT,Lever Unit PRND43L,Oil Temperature [degree C],Quick Shift Function From GSM On/Off,Quick Shift Gear Change From GSM,Quick Shift Mode,Solenoid S1 & S2 Current [mA],Solenoid S1 Status,Solenoid S2 Status,Solenoid S3 Current [mA],Solenoid S3 Status,Solenoid S4 & S5 Current [mA],Solenoid S4 Status,Solenoid S5 Status,Solenoid SLS Current [A],Solenoid SLT Current [A],Solenoid SLU Current [A],Torque Control [Nm],Torque Limitation Requested [Nm],Torque Reduction When Changing Gear [Nm],Vehicle Speed ABS [km/h],Vehicle Speed SP Sensor [km/h],Winter Mode Status
1,0,13.69,Cruise Not Active,89,Engine Running,665,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,13.69,Cruise Not Active,89,Engine Running,665,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,13.53,Cruise Not Active,89,Engine Running,665,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,13.53,Cruise Not Active,89,Engine Running,665,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,13.53,Cruise Not Active,89,Engine Running,665,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,13.53,Cruise Not Active,89,Engine Running,665,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,0,0,0,0,0,0,0,0,0,0,0
30,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,0,0,0,0,0,0,0,0,0,0,0
31,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,Off,0,0,0,0,0,0,0,0,0,0
32,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,Off,Off,0,0,0,0,0,0,0,0,0
33,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,Off,Off,1.00,0,0,0,0,0,0,0,0
34,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,Off,Off,1.00,0.86,0,0,0,0,0,0,0
35,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,Off,Off,1.00,0.86,0.98,0,0,0,0,0,0
36,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,Off,Off,1.00,0.86,0.98,511,0,0,0,0,0
37,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,Off,Off,1.00,0.86,0.98,511,330,0,0,0,0
38,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,Off,Off,1.00,0.86,0.98,511,330,3,0,0,0
39,0,13.53,Cruise Not Active,89,Engine Running,666,3,4.66,65.53,P,Low,High,High,Low,Ignition Is On,647,Not Active,P,P,45,Off,No Gear Change,Normal,0,Off,Off,0,Off,0,Off,Off,1.00,0.86,0.98,511,330,3,0,0,0
