"A/C Compressor Active","A/C Pressure[psi]","Accelerator Pedal Sensor, Analog[V]","Accelerator Pedal Sensor, PWM[%]","Adaptation Throttle","Air Mass, Correction Factor","Ambient Air Pressure[psi]","Ambient Air Temperature[degree F]","Battery Voltage[V]","Boost Pressure[psi]","Brake Light Switch","Brake Pedal Position (From BCM)[%]","Camshaft Shifting Angle Deviation (Exhaust)[deg]","Camshaft Shifting Angle Deviation (Inlet)[deg]","Camshaft Shifting Angle, Exhaust[deg]","Camshaft Shifting Angle, Inlet[deg]","Condition Automatic Transmission","Cruise -","Cruise +","Cruise Control Resume","Engine Coolant Level Switch","Engine Coolant Temperature[degree C]","Engine Cooling Fan[%]","Evap-Flow[kg/h]","Exhaust Camshaft Adaptation[deg]","Exhaust Camshaft Reset Valve[%]","Fuel Pressure[kPa]","Fuel Pressure, Nominal Value[kPa]","Fuel Pump Relay","Fuel Pump, Duty Cycle[%]","Fuel Temperature[degree C]","Idlespeed, Deviation From Nominal[rpm]","Ignition Angle[deg BTDC]","Injection Time, Bank 1[ms]","Inlet Camshaft Adaptation (6-Cyl)[deg]","Inlet Camshaft Reset Valve[%]","Intake Air Temperature[degree C]","Lambda Control, Bank 1","Leakage Air Through Throttle Blade","Long-Term Fuel Trim Lower Part Load, Bank 1","Long-Term Fuel Trim Upper Part Load, Bank 1","Mass Air Flow[kg/h]","Misfire Counter","Misfire Counter 1 (5 Cyl)","Misfire Counter 2 (5 Cyl)","Misfire Counter 3 (5 Cyl)","Misfire Counter 4 (5 Cyl)","Misfire Counter 5 (5 Cyl)","Nominal Camshaft Shifting Angle, Exhaust[deg]","Nominal Camshaft Shifting Angle, Inlet[deg]","Nominal Throttle Angle[%]","Oil Level[%]","Oil Pressure Switch","Oxygen Front Sensor, Bank 1","Oxygen Rear Sensor, Bank 1[V]","Purge Valve, Dutycycle[%]","Short-Term Fuel Trim Idle, Bank 1[%]","Short-Term Fuel Trim, Bank 1","Throttle Angle[%]","Throttle Position Sensor, Potentiometer 1[V]","Throttle Position Sensor, Potentiometer 1[%]","Throttle Position Sensor, Potentiometer 2[V]","Throttle Position Sensor, Potentiometer 2[%]","Turbo Control Valve Dutycycle[%]","Vehicle Speed[km/h]"
"On","177.927","0.41","8.01","OK","0.94","9.75","69.8","12.95","9.8","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","177.927","0.41","8.01","OK","0.94","9.75","69.8","12.95","9.8","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","69.8","12.95","9.8","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","69.8","12.95","9.8","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","69.8","12.95","9.8","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","69.8","12.95","9.8","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","69.8","12.95","9.8","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","69.8","12.95","9.8","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","12.95","9.8","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.8","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.02","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"On","183.996","0.41","8.01","OK","0.94","9.75","71.15","13.3","9.7","On","30.98","-0.31","0.25","9.05","0.16","On","Off","Off","Off","Off","192.65","22.75","0","1.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
