Num,1. A/C Compressor Active (A/C Pressure)
1,On
2,916.44
3,0.41
4,8.00
5,OK
6,0.95
7,975
8,-1.50
9,14.36
10,970
11,Off
12,0
13,0.25
14,0.09
15,0.28
16,0.03
17,On
18,Off
19,Off
20,Off
21,Off
22,87.75
23,7.84
24,0
25,2.19
26,41.18
27,396.82
28,400
29,On
30,46.35
31,24
32,-910
33,37.50
34,3.30
35,-1.00
36,7.84
37,3.00
38,C/L
39,0.10
40,1.08
41,1.00
42,45.40
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,7.69
52,79.68
53,Off
54,1.00
55,0.78
56,3.12
57,3.37
58,0.94
59,7.45
60,0.86
61,7.45
62,4.14
63,7.45
64,0
65,78
66,On
67,916.44
68,0.41
69,8.00
70,OK
71,0.95
72,975
73,-1.50
74,14.36
75,970
76,Off
77,0
78,0.25
79,0.09
80,0.28
81,0.03
82,On
83,Off
84,Off
85,Off
86,Off
87,87.75
88,7.84
89,0
90,2.19
91,41.18
92,396.82
93,400
94,On
95,46.35
96,24
97,-910
98,37.50
99,3.30
100,-1.00
101,7.84
102,3.00
103,C/L
104,0.10
105,1.08
106,1.00
107,45.40
108,0
109,0
110,0
111,0
112,1
113,0
114,1
115,0
116,7.69
117,79.68
118,Off
119,1.00
120,0.78
121,3.12
122,3.37
123,0.94
124,7.45
125,0.86
126,7.45
127,4.14
128,7.45
129,0
130,78
131,On
132,943.41
133,0.41
134,8.00
135,OK
136,0.95
137,975
138,-1.50
139,14.36
140,970
141,Off
142,0
143,0.25
144,0.09
145,0.28
146,0.03
147,On
148,Off
149,Off
150,Off
151,Off
152,87.75
153,7.84
154,0
155,2.19
156,41.18
157,396.82
158,400
159,On
160,46.35
161,24
162,-910
163,37.50
164,3.30
165,-1.00
166,7.84
167,3.00
168,C/L
169,0.10
170,1.08
171,1.00
172,45.40
173,0
174,0
175,0
176,0
177,1
178,0
179,1
180,0
181,7.69
182,79.68
183,Off
184,1.00
185,0.78
186,3.12
187,3.37
188,0.94
189,7.45
190,0.86
191,7.45
192,4.14
193,7.45
194,0
195,78
196,On
197,943.41
198,0.41
199,8.00
200,OK
201,0.95
202,975
203,-1.50
204,14.36
205,970
206,Off
207,0
208,0.25
209,0.09
210,0.28
211,0.03
212,On
213,Off
214,Off
215,Off
216,Off
217,87.75
218,7.84
219,0
220,2.19
221,41.18
222,396.82
223,400
224,On
225,46.35
226,24
227,-910
228,37.50
229,3.30
230,-1.00
231,7.84
232,3.00
233,C/L
234,0.10
235,1.08
236,1.00
237,45.40
238,0
239,0
240,0
241,0
242,1
243,0
244,1
245,0
246,7.69
247,79.68
248,Off
249,1.00
250,0.78
251,3.12
252,3.37
253,0.94
254,7.45
255,0.86
256,7.45
257,4.14
258,7.45
259,0
260,78
261,On
262,943.41
263,0.41
