Row,AC Compressor Active,AC Pressure [kPa],"Accelerator Pedal Sensor, Analog [V]","Accelerator Pedal Sensor, PWM [%]",Adaptation Throttle,"Air Mass, Correction Factor",Ambient Air Pressure [hPa],Ambient Air Temperature [degree C],Battery Voltage [V],Boost Pressure [hPa],Brake Light Switch,Brake Pedal Position (From BCM) [%],Camshaft Shifting Angle Deviation (Exhaust) [deg],Camshaft Shifting Angle Deviation (Inlet) [deg],"Camshaft Shifting Angle, Exhaust [deg]","Camshaft Shifting Angle, Inlet [deg]",Condition Automatic Transmission,Cruise -,Cruise +,Cruise Control Resume,Engine Coolant Level Switch,Engine Coolant Temperature [degree C],Engine Cooling Fan [%],Evap-Flow [kg/h],Exhaust Camshaft Adaptation [deg],Exhaust Camshaft Reset Valve [%],Fuel Pressure [kPa],"Fuel Pressure, Nominal Value [kPa]",Fuel Pump Relay,"Fuel Pump, Duty Cycle [%]",Fuel Temperature [degree C],"Idlespeed, Deviation From Nominal [rpm]",Ignition Angle [deg BTDC],"Injection Time, Bank 1 [ms]",Inlet Camshaft Adaptation (6-Cyl) [deg],Inlet Camshaft Reset Valve [%],Intake Air Temperature [degree C],"Lambda Control, Bank 1",Leakage Air Through Throttle Blade,"Long-Term Fuel Trim Lower Part Load, Bank 1","Long-Term Fuel Trim Upper Part Load, Bank 1",Mass Air Flow [kg/h],Misfire Counter,Misfire Counter 1 (5 Cyl),Misfire Counter 2 (5 Cyl),Misfire Counter 3 (5 Cyl),Misfire Counter 4 (5 Cyl),Misfire Counter 5 (5 Cyl),"Nominal Camshaft Shifting Angle, Exhaust [deg]","Nominal Camshaft Shifting Angle, Inlet [deg]",Nominal Throttle Angle [%],Oil Level [%],Oil Pressure Switch,"Oxygen Front Sensor, Bank 1","Oxygen Rear Sensor, Bank 1 [V]","Purge Valve, Dutycycle [%]","Short-Term Fuel Trim Idle, Bank 1 [%]","Short-Term Fuel Trim, Bank 1",Throttle Angle [%],"Throttle Position Sensor, Potentiometer 1 [V]","Throttle Position Sensor, Potentiometer 1 [%]","Throttle Position Sensor, Potentiometer 2 [V]","Throttle Position Sensor, Potentiometer 2 [%]",Turbo Control Valve Dutycycle [%],Vehicle Speed [km/h]
1,On,916.44,0.41,8.00,OK,0.95,975,-1.50,14.36,970,Off,0,0.25,0.09,0.28,0.03,On,Off,Off,Off,Off,87.75,7.84,0,2.19,41.18,396.82,400,On,46.35,24,-910,37.50,3.30,-1.00,7.84,3.00,C/L,0.10,1.08,1.00,45.40,0,0,0,0,1,0,1,0,7.69,79.68,Off,1.00,0.78,3.12,3.37,0.94,7.45,0.86,7.45,4.14,7.45,0,78
2,On,916.44,0.41,8.00,OK,0.95,975,-1.50,14.36,970,Off,0,0.25,0.09,0.28,0.03,On,Off,Off,Off,Off,87.75,7.84,0,2.19,41.18,396.82,400,On,46.35,24,-910,37.50,3.30,-1.00,7.84,3.00,C/L,0.10,1.08,1.00,45.40,0,0,0,0,1,0,1,0,7.69,79.68,Off,1.00,0.78,3.12,3.37,0.94,7.45,0.86,7.45,4.14,7.45,0,78
3,On,943.41,0.41,8.00,OK,0.95,975,-1.50,14.36,970,Off,0,0.25,0.09,0.28,0.03,On,Off,Off,Off,Off,87.75,7.84,0,2.19,41.18,396.82,400,On,46.35,24,-910,37.50,3.30,-1.00,7.84,3.00,C/L,0.10,1.08,1.00,45.40,0,0,0,0,1,0,1,0,7.69,79.68,Off,1.00,0.78,3.12,3.37,0.94,7.45,0.86,7.45,4.14,7.45,0,78
4,On,943.41,0.41,8.00,OK,0.95,975,-1.50,14.36,970,Off,0,0.25,0.09,0.28,0.03,On,Off,Off,Off,Off,87.75,7.84,0,2.19,41.18,396.82,400,On,46.35,24,-910,37.50,3.30,-1.00,7.84,3.00,C/L,0.10,1.08,1.00,45.40,0,0,0,0,1,0,1,0,7.69,79.68,Off,1.00,0.78,3.12,3.37,0.94,7.45,0.86,7.45,4.14,7.45,0,78
5,On,943.41,0.41,8.02,OK,0.95,975,-1.50,14.36,970,Off,0,0.25,0.09,0.28,0.03,On,Off,Off,Off,Off,87.75,7.84,0,2.19,41.18,396.82,400,On,46.35,24,-910,37.50,3.30,-1.00,7.84,3.00,C/L,0.10,1.08,1.00,45.40,0,0,0,0,1,0,1,0,7.69,79.68,Off,1.00,0.78,3.12,3.37,0.94,7.45,0.86,7.45,4.14,7.45,0,78
6,On,943.41,0.41,8.02,OK,0.95,975,-1.50,14.36,970,Off,0,0.25,0.09,0.28,0.03,On,Off,Off,Off,Off,87.75,7.84,0,2.19,41.18,396.82,400,On,46.35,24,-910,37.50,3.30,-1.00,7.84,3.00,C/L,0.10,1.08,1.00,45.40,0,0,0,0,1,0,1,0,7.69,79.68,Off,1.00,0.78,3.12,3.37,0.94,7.45,0.86,7.45,4.14,7.45,0,78
7,On,943.41,0.41,8.02,OK,0.95,975,-1.50,14.36,970,Off,0,0.25,0.09,0.28,0.03,On,Off,Off,Off,Off,87.75,7.84,0,2.19,41.18,396.82,400,On,46.35,24,-910,37.50,3.30,-1.00,7.84,3.00,C/L,0.10,1.08,1.00,45.40,0,0,0,0,1,0,1,0,7.69,79.68,Off,1.00,0.78,3.12,3.37,0.94,7.45,0.86,7.45,4.14,7.45,0,78
8,On,943.41,0.41,8.02,OK,0.95,975,-1.50,14.36,970,Off,0,0.25,0.09,0.28,0.03,On,Off,Off,Off,Off,87.75,7.84,0,2.19,41.18,396.82,400,On,46.35,24,-910,37.50,3.30,-1.00,7.84,3.00,C/L,0.10,1.08,1.00,45.40,0,0,0,0,1,0,1,0,7.69,79.68,Off,1.00,0.78,3.12,3.37,0.94,7.45,0.86,7.45,4.14,7.45,0,78
9,On,943.41,0.41,8.02,OK,0.95,975,-1.50,14.36,970,Off,0,0.25,0.09,0.28,0.03,On,Off,Off,Off,Off,87.75,7.84,0,2.19,41.18,396.82,400,On,46.35,24,-910,37.50,3.30,-1.00,7.84,3.00,C/L,0.10,1.08,1.00,45.40,0,0,0,0,1,0,1,0,7.69,79.68,Off,1.00,0.78,3.12,3.37,0.94,7.45,0.86,7.45,4.14,7.45,0,78
10,On,943.41,0.41,8.02,OK,0.95,975,-1.50,14.36,970,Off,0,0.25,0.09,0.28,0.03,On,Off,Off,Off,Off,87.75,7.84,0,2.19,41.18,396.82,400,On,46.35,24,-910,37.50,3.30,-1.00,7.84,3.00,C/L,0.10,1.08,1.00,45.40,0,0,0,0,1,0,1,0,7.69,79.68,Off,1.00,0.78,3.12,3.37,0.94,7.45,0.86,7.45,4.14,7.45,0,78
