Row,AC Compressor Active,AC Pressure [kPa],"Accelerator Pedal Sensor, Analog [V]","Accelerator Pedal Sensor, PWM [%]",Adaptation Throttle,"Air Mass, Correction Factor",Ambient Air Pressure [hPa],Ambient Air Temperature [degree C],Battery Voltage [V],Boost Pressure [hPa],Brake Light Switch,Brake Pedal Position (From BCM) [%],Camshaft Shifting Angle Deviation (Exhaust) [deg],Camshaft Shifting Angle Deviation (Inlet) [deg],"Camshaft Shifting Angle, Exhaust [deg]","Camshaft Shifting Angle, Inlet [deg]",Condition Automatic Transmission,Cruise -,Cruise +,Cruise Control Resume,Engine Coolant Level Switch,Engine Coolant Temperature [degree C],Engine Cooling Fan [%],Evap-Flow [kg/h],Exhaust Camshaft Adaptation [deg],Exhaust Camshaft Reset Valve [%],Fuel Pressure [kPa],"Fuel Pressure, Nominal Value [kPa]",Fuel Pump Relay,"Fuel Pump, Duty Cycle [%]",Fuel Temperature [degree C],"Idlespeed, Deviation From Nominal [rpm]",Ignition Angle [deg BTDC],"Injection Time, Bank 1 [ms]",Inlet Camshaft Adaptation (6-Cyl) [deg],Inlet Camshaft Reset Valve [%],Intake Air Temperature [degree C],"Lambda Control, Bank 1",Leakage Air Through Throttle Blade,"Long-Term Fuel Trim Lower Part Load, Bank 1","Long-Term Fuel Trim Upper Part Load, Bank 1",Mass Air Flow [kg/h],Misfire Counter,Misfire Counter 1 (5 Cyl),Misfire Counter 2 (5 Cyl),Misfire Counter 3 (5 Cyl),Misfire Counter 4 (5 Cyl),Misfire Counter 5 (5 Cyl),"Nominal Camshaft Shifting Angle, Exhaust [deg]","Nominal Camshaft Shifting Angle, Inlet [deg]",Nominal Throttle Angle [%],Oil Level [%],Oil Pressure Switch,"Oxygen Front Sensor, Bank 1","Oxygen Rear Sensor, Bank 1 [V]","Purge Valve, Dutycycle [%]","Short-Term Fuel Trim Idle, Bank 1 [%]","Short-Term Fuel Trim, Bank 1",Throttle Angle [%],"Throttle Position Sensor, Potentiometer 1 [V]","Throttle Position Sensor, Potentiometer 1 [%]","Throttle Position Sensor, Potentiometer 2 [V]","Throttle Position Sensor, Potentiometer 2 [%]",Turbo Control Valve Dutycycle [%],Vehicle Speed [km/h]
1,Off,201.63,0.41,8.02,OK,0.95,975,-1.50,14.71,980,Off,0,0.22,-0.11,8.22,0.42,On,Off,Off,Off,Off,77.25,7.84,0,1.44,40,399.58,400,On,45.63,40,-940,39.00,2.16,-1.30,7.84,7.50,C/L,0,1.07,1.00,30.80,0,0,0,0,0,0,3.50,0,7.33,79.68,Off,0.97,0.81,0,2.76,0.95,9.41,0.93,9.41,4.07,9.41,0,57
2,Off,201.63,0.41,8.02,OK,0.95,975,-1.50,14.71,980,Off,0,0.22,-0.11,8.22,0.42,On,Off,Off,Off,Off,77.25,7.84,0,1.44,40,399.58,400,On,45.63,40,-940,39.00,2.16,-1.30,7.84,7.50,C/L,0,1.07,1.00,30.80,0,0,0,0,0,0,3.50,0,7.33,79.68,Off,0.97,0.81,0,2.76,0.95,9.41,0.93,9.41,4.07,9.41,0,57
3,Off,201.63,0.41,8.02,OK,0.95,975,-1.50,14.71,980,Off,0,0.22,-0.11,8.22,0.42,On,Off,Off,Off,Off,77.25,7.84,0,1.44,40,399.58,400,On,45.63,40,-940,39.00,2.16,-1.30,7.84,7.50,C/L,0,1.07,1.00,30.80,0,0,0,0,0,0,3.50,0,7.33,79.68,Off,0.97,0.81,0,2.76,0.95,9.41,0.93,9.41,4.07,9.41,0,57
4,Off,201.63,0.41,8.02,OK,0.95,975,-1.50,14.71,980,Off,0,0.22,-0.11,8.22,0.42,On,Off,Off,Off,Off,77.25,7.84,0,1.44,40,399.58,400,On,45.63,40,-940,39.00,2.16,-1.30,7.84,7.50,C/L,0,1.07,1.00,30.80,0,0,0,0,0,0,3.50,0,7.33,79.68,Off,0.97,0.81,0,2.76,0.95,9.41,0.93,9.41,4.07,9.41,0,57
5,Off,201.63,0.41,8.02,OK,0.95,975,-1.50,14.71,980,Off,0,0.22,-0.11,8.22,0.42,On,Off,Off,Off,Off,77.25,7.84,0,1.44,40,399.58,400,On,45.63,40,-940,39.00,2.16,-1.30,7.84,7.50,C/L,0,1.07,1.00,30.80,0,0,0,0,0,0,3.50,0,7.33,79.68,Off,0.97,0.81,0,2.76,0.95,9.41,0.93,9.41,4.07,9.41,0,57
6,Off,201.63,0.41,8.02,OK,0.95,975,-1.50,14.71,980,Off,0,0.22,-0.11,8.22,0.42,On,Off,Off,Off,Off,77.25,7.84,0,1.44,40,399.58,400,On,45.63,40,-940,39.00,2.16,-1.30,7.84,7.50,C/L,0,1.07,1.00,30.80,0,0,0,0,0,0,3.50,0,7.33,79.68,Off,0.97,0.81,0,2.76,0.95,9.41,0.93,9.41,4.07,9.41,0,57
7,Off,201.63,0.41,8.02,OK,0.95,975,-1.50,14.71,980,Off,0,0.22,-0.11,8.22,0.42,On,Off,Off,Off,Off,77.25,7.84,0,1.44,40,399.58,400,On,45.63,40,-940,39.00,2.16,-1.30,7.84,7.50,C/L,0,1.07,1.00,30.80,0,0,0,0,0,0,3.50,0,7.33,79.68,Off,0.97,0.81,0,2.76,0.95,9.41,0.93,9.41,4.07,9.41,0,57
8,Off,201.63,0.41,8.02,OK,0.95,975,-1.50,14.71,980,Off,0,0.22,-0.11,8.22,0.42,On,Off,Off,Off,Off,77.25,7.84,0,1.44,40,399.58,400,On,45.63,40,-940,39.00,2.16,-1.30,7.84,7.50,C/L,0,1.07,1.00,30.80,0,0,0,0,0,0,3.50,0,7.33,79.68,Off,0.97,0.81,0,2.76,0.95,9.41,0.93,9.41,4.07,9.41,0,57
9,Off,201.63,0.41,8.02,OK,0.95,975,-1.50,14.71,980,Off,0,0.22,-0.11,8.22,0.42,On,Off,Off,Off,Off,77.25,7.84,0,1.44,40,399.58,400,On,45.63,40,-940,39.00,2.16,-1.30,7.84,7.50,C/L,0,1.07,1.00,30.80,0,0,0,0,0,0,3.50,0,7.33,79.68,Off,0.97,0.81,0,2.76,0.95,9.41,0.93,9.41,4.07,9.41,0,57
10,Off,201.63,0.41,8.02,OK,0.95,975,-1.50,14.57,980,Off,0,0.22,-0.11,8.22,0.42,On,Off,Off,Off,Off,77.25,7.84,0,1.44,40,399.58,400,On,45.63,40,-940,39.00,2.16,-1.30,7.84,7.50,C/L,0,1.07,1.00,30.80,0,0,0,0,0,0,3.50,0,7.33,79.68,Off,0.97,0.81,0,2.76,0.95,9.41,0.93,9.41,4.07,9.41,0,57
