Num,1. Alarm Cause 1 (   ),2. Automatic Locking (   ),"3. Battery Voltage, REM (V)",4. Bonnet Sensor Switch (   ),5. Bootlid/Tailgate Switch (   ),6. Calibration Result Position Sensor (   ),7. Distance Backwards (   ),8. Distance Forwards (   ),9. Driver Door Lock Switch (   ),10. Driver Door Switch (   ),"11. Fog Light, Trailer (   )",12. Fog Lights (   ),13. Glass Break Sensor (   ),14. Left Rear Door Lock Switch (   ),15. Left Rear Door Power Child Lock Switch (   ),16. Left Rear Door Switch (   ),17. License Plate Light (   ),18. Parking Assistance Front (   ),19. Parking Assistance Rear (   ),20. Parking Assistance Sensor 1 (   ),21. Parking Assistance Sensor 2 (   ),22. Parking Assistance Sensor 3 (   ),23. Parking Assistance Sensor 4 (   ),24. Parking Assistance Sensor 5 (   ),25. Parking Assistance Sensor 6 (   ),26. Parking Assistance Sensor 7 (   ),27. Parking Assistance Sensor 8 (   ),28. Passenger Door Lock Switch (   ),29. Passenger Door Switch (   ),30. Relay Electrically Heated Diesel Filter (   ),31. Relay Extended X Supply (1) (   ),32. Relay Extended X Supply (2) (   ),33. Relay Extended X Supply (3) (   ),34. Relay Extended X Supply (4) (   ),35. Relay Rear Window Defroster (   ),"36. Relay, Tank Valve (   )",37. Reversing Light (   ),38. Right Rear Door Lock Switch (   ),39. Right Rear Door Power Child Lock Switch (   ),40. Right Rear Door Switch (   ),41. Signal From Position Sensor Xenon Lamp (V),42. Signal From Pressure Sensor (CNG) (V),43. Signal From Temperature Sensor (CNG) (V),44. Status Position Sensor Xenon Lamp (   ),45. Stop Light (   ),"46. Tail Gate, Lock Switch (   )",47. Unlocking Cause (   ),"48. Voltage Of Battery, CEM (V)"
1,No Alarm Caust Saved,Not Activated,14.51,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,No Alarm Caust Saved,Not Activated,14.51,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,No Alarm Caust Saved,Not Activated,14.51,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,No Alarm Caust Saved,Not Activated,14.46,Closed,Closed,OK,1,1,Unlocked,Closed,Not Activated,Not Activated,OK,Unlocked,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
