Num,1. Acceleration Pedal Position (%),2. Battery Voltage (V),3. Cruise Control Active (   ),4. Engine Coolant Temperature (degree C),5. Engine Running Status ECM (   ),6. Engine Speed (rpm),7. Engine Torque (Nm),8. Expected Gear Ratio (   ),9. Gear Ratio (   ),10. Gear Selector Position (   ),11. Gear Selector Position A (   ),12. Gear Selector Position B (   ),13. Gear Selector Position C (   ),14. Gear Selector Position PA (   ),15. Ignition Status ECM (   ),16. In Rpm Speed NC Sensor (rpm),17. Kick Down Status (   ),18. Lever Unit AW55 GT (   ),19. Lever Unit PRND43L (   ),20. Oil Temperature (degree C),21. Quick Shift Function From GSM On/Off (   ),22. Quick Shift Gear Change From GSM (   ),23. Quick Shift Mode (   ),24. Solenoid S1 & S2 Current (mA),25. Solenoid S1 Status (   ),26. Solenoid S2 Status (   ),27. Solenoid S3 Current (mA),28. Solenoid S3 Status (   ),29. Solenoid S4 & S5 Current (mA),30. Solenoid S4 Status (   ),31. Solenoid S5 Status (   ),32. Solenoid SLS Current (A),33. Solenoid SLT Current (A),34. Solenoid SLU Current (A),35. Torque Control (Nm),36. Torque Limitation Requested (Nm),37. Torque Reduction When Changing Gear (Nm),38. Vehicle Speed ABS (km/h),39. Vehicle Speed SP Sensor (km/h),40. Winter Mode Status (   )
1,0,13.38,Cruise Not Active,86,Engine Running,662,11,4.66,0,D,High,Low,Low,High,Ignition Is On,665,Not Active,P,P,80,Off,No Gear Change,Normal,1440,On,On,772,On,5,Off,Off,0.67,1.00,0.20,511,330,2,0,0,Off
2,0,13.38,Cruise Not Active,86,Engine Running,662,11,4.66,0,D,High,Low,Low,High,Ignition Is On,665,Not Active,P,P,80,Off,No Gear Change,Normal,1440,On,On,772,On,5,Off,Off,0.67,1.00,0.20,511,330,2,0,0,Off
3,0,13.40,Cruise Not Active,86,Engine Running,662,11,4.66,0,D,High,Low,Low,High,Ignition Is On,665,Not Active,P,P,80,Off,No Gear Change,Normal,1440,On,On,772,On,5,Off,Off,0.67,1.00,0.20,511,330,2,0,0,Off
4,0,13.40,Cruise Not Active,86,Engine Running,662,11,4.66,0,D,High,Low,Low,High,Ignition Is On,665,Not Active,P,P,80,Off,No Gear Change,Normal,1440,On,On,772,On,5,Off,Off,0.67,1.00,0.20,511,330,2,0,0,Off
5,0,13.40,Cruise Not Active,86,Engine Running,662,11,4.66,0,D,High,Low,Low,High,Ignition Is On,665,Not Active,P,P,80,Off,No Gear Change,Normal,1440,On,On,772,On,5,Off,Off,0.67,1.00,0.20,511,330,2,0,0,Off
6,0,13.40,Cruise Not Active,86,Engine Running,662,11,4.66,0,D,High,Low,Low,High,Ignition Is On,665,Not Active,P,P,80,Off,No Gear Change,Normal,1440,On,On,772,On,5,Off,Off,0.67,1.00,0.20,511,330,2,0,0,Off
7,0,13.40,Cruise Not Active,86,Engine Running,666,11,4.66,0,D,High,Low,Low,High,Ignition Is On,665,Not Active,P,P,80,Off,No Gear Change,Normal,1440,On,On,772,On,5,Off,Off,0.67,1.00,0.20,511,330,2,0,0,Off
8,0,13.40,Cruise Not Active,86,Engine Running,666,11,4.66,0,D,High,Low,Low,High,Ignition Is On,665,Not Active,P,P,80,Off,No Gear Change,Normal,1440,On,On,772,On,5,Off,Off,0.67,1.00,0.20,511,330,2,0,0,Off
9,0,13.40,Cruise Not Active,86,Engine Running,666,11,4.66,0,D,High,Low,Low,High,Ignition Is On,665,Not Active,P,P,80,Off,No Gear Change,Normal,1440,On,On,772,On,5,Off,Off,0.67,1.00,0.20,511,330,2,0,0,Off
10,0,13.40,Cruise Not Active,86,Engine Running,666,11,4.66,0,D,High,Low,Low,High,Ignition Is On,665,Not Active,P,P,80,Off,No Gear Change,Normal,1440,On,On,772,On,5,Off,Off,0.67,1.00,0.20,511,330,2,0,0,Off
