filename,date,condition,operating_mode,engine_temp,ambient_temp_f,mileage,dtcs_present,notes
TOYOTA_989347712041_20251018170040_clean.csv,2025-10-18,unknown,unknown,unknown,,,,"First capture session"
TOYOTA_989347712041_20251022180450_clean.csv,2025-10-22,unknown,unknown,unknown,,,,"Oct 22 session 1"
TOYOTA_989347712041_20251022181405_clean.csv,2025-10-22,unknown,unknown,unknown,,,,"Oct 22 session 2"
TOYOTA_989347712041_20251022193104_clean.csv,2025-10-22,unknown,unknown,unknown,,,,"Oct 22 session 3"
TOYOTA_989347712041_20251022200941brake_clean.csv,2025-10-22,unknown,unknown,unknown,,,,"Brake test - LABEL THIS"
TOYOTA_989347712041_20251022201306_clean.csv,2025-10-22,unknown,unknown,unknown,,,,"Oct 22 session 5"
TOYOTA_989347712041_20251024151339good_clean.csv,2025-10-24,healthy,idle_warm,warm,,,,"Labeled good by filename"
TOYOTA_989347712041_20251025160401 alternation noise_clean.csv,2025-10-25,fault_alternator,idle_warm,warm,,,,"REAL FAULT - alternator clicking/noise"
TOYOTA_989347712041_20251028105043_clean.csv,2025-10-28,unknown,unknown,unknown,,,,"Oct 28 session 1"
TOYOTA_989347712041_20251028105656_clean.csv,2025-10-28,unknown,unknown,unknown,,,,"Oct 28 session 2"
TOYOTA_989347712041_20251028120111_clean.csv,2025-10-28,unknown,unknown,unknown,,,,"Oct 28 session 3"
TOYOTA_989347712041_20251028150616_clean.csv,2025-10-28,unknown,unknown,unknown,,,,"Oct 28 session 4"
TOYOTA_989347712041_20251028162810_clean.csv,2025-10-28,unknown,unknown,unknown,,,,"Oct 28 session 5"
TOYOTA_989347712041_20251103165921_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst - 16 scans. LABEL THESE"
TOYOTA_989347712041_20251103170028_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103170104_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103170257_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103170437_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103170557_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103170719_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
TOYOTA_989347712041_20251103170939_clean.csv,2025-11-03,unknown,unknown,unknown,,,,"Nov 3 burst"
